RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Tr_profit_lam	Fb_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671816e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.815518e+01	-6.485506e+00	3.955017e+01
2	-1.731257e+02	-1.744618e+02	1.256514e-01	3.585957e-01	2.932738e-01	1.087158e-01	1.137632e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.287238e+00	-6.810110e+00	3.301745e+01
3	-1.641397e+02	-1.830947e+02	1.088046e-01	3.557668e-01	2.996500e-01	1.068482e-01	1.289304e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.993120e+01	-7.091083e+00	3.006834e+01
4	-1.566355e+02	-1.872183e+02	9.712437e-02	3.577771e-01	3.023520e-01	1.053907e-01	1.373559e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.118947e+01	-7.280306e+00	2.866168e+01
5	-1.510188e+02	-1.891449e+02	8.961474e-02	3.603929e-01	3.034899e-01	1.043661e-01	1.421364e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.847880e+01	-7.394002e+00	2.788517e+01
6	-1.471219e+02	-1.900380e+02	8.490827e-02	3.625681e-01	3.039576e-01	1.036851e-01	1.448810e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.312343e+01	-7.461458e+00	2.742920e+01
7	-1.445478e+02	-1.904617e+02	8.198378e-02	3.641527e-01	3.041431e-01	1.032471e-01	1.464733e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.603790e+01	-7.502128e+00	2.715682e+01
8	-1.428954e+02	-1.906711e+02	8.017115e-02	3.652364e-01	3.042133e-01	1.029704e-01	1.474086e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.785084e+01	-7.527038e+00	2.699301e+01
9	-1.418511e+02	-1.907796e+02	7.904809e-02	3.659512e-01	3.042381e-01	1.027973e-01	1.479653e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.897437e+01	-7.542436e+00	2.689391e+01
10	-1.411968e+02	-1.908385e+02	7.835208e-02	3.664122e-01	3.042458e-01	1.026894e-01	1.483005e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.966994e+01	-7.551993e+00	2.683360e+01
11	-1.407885e+02	-1.908717e+02	7.792057e-02	3.667054e-01	3.042475e-01	1.026223e-01	1.485043e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.010062e+01	-7.557933e+00	2.679670e+01
12	-1.405344e+02	-1.908911e+02	7.765294e-02	3.668902e-01	3.042473e-01	1.025806e-01	1.486290e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.036742e+01	-7.561626e+00	2.677403e+01
13	-1.403765e+02	-1.909026e+02	7.748693e-02	3.670060e-01	3.042467e-01	1.025548e-01	1.487056e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.053277e+01	-7.563920e+00	2.676005e+01
14	-1.402783e+02	-1.909095e+02	7.738392e-02	3.670783e-01	3.042461e-01	1.025387e-01	1.487529e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.063530e+01	-7.565346e+00	2.675141e+01
15	-1.402174e+02	-1.909137e+02	7.732001e-02	3.671234e-01	3.042456e-01	1.025288e-01	1.487822e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.069890e+01	-7.566232e+00	2.674607e+01
16	-1.401796e+02	-1.909164e+02	7.728034e-02	3.671514e-01	3.042454e-01	1.025226e-01	1.488003e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.073835e+01	-7.566781e+00	2.674276e+01
17	-1.401561e+02	-1.909180e+02	7.725573e-02	3.671689e-01	3.042452e-01	1.025187e-01	1.488115e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.076283e+01	-7.567123e+00	2.674070e+01
18	-1.401415e+02	-1.909189e+02	7.724046e-02	3.671797e-01	3.042450e-01	1.025164e-01	1.488185e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.077802e+01	-7.567334e+00	2.673943e+01
19	-1.401325e+02	-1.909196e+02	7.723098e-02	3.671864e-01	3.042450e-01	1.025149e-01	1.488228e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.078744e+01	-7.567466e+00	2.673864e+01
20	-1.401269e+02	-1.909199e+02	7.722509e-02	3.671906e-01	3.042449e-01	1.025140e-01	1.488255e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.079329e+01	-7.567548e+00	2.673815e+01
