rto_iter	test_point_no	variable_name	noise
0	0	obj	4.987408e-01
0	0	feed_con1	-0.000000e+00
0	0	feed_con2	-0.000000e+00
0	0	purity_con	4.720106e-06
0	0	drain_con	-1.722763e-02
0	0	validity_con	-0.000000e+00
0	1	obj	-3.242239e-01
0	1	feed_con1	0.000000e+00
0	1	feed_con2	-0.000000e+00
0	1	purity_con	-2.714443e-06
0	1	drain_con	9.435310e-02
0	1	validity_con	-0.000000e+00
0	2	obj	-8.959933e-01
0	2	feed_con1	-0.000000e+00
0	2	feed_con2	0.000000e+00
0	2	purity_con	1.251172e-05
0	2	drain_con	4.607584e-02
0	2	validity_con	0.000000e+00
0	3	obj	1.386531e+00
0	3	feed_con1	0.000000e+00
0	3	feed_con2	0.000000e+00
0	3	purity_con	-8.190429e-06
0	3	drain_con	2.000000e-01
0	3	validity_con	0.000000e+00
0	4	obj	-5.820414e-01
0	4	feed_con1	0.000000e+00
0	4	feed_con2	-0.000000e+00
0	4	purity_con	-4.469485e-06
0	4	drain_con	7.476073e-02
0	4	validity_con	-0.000000e+00
0	5	obj	2.246243e+00
0	5	feed_con1	0.000000e+00
0	5	feed_con2	0.000000e+00
0	5	purity_con	-5.942394e-06
0	5	drain_con	1.872893e-02
0	5	validity_con	0.000000e+00
1	0	obj	1.008028e-01
1	0	feed_con1	-0.000000e+00
1	0	feed_con2	-0.000000e+00
1	0	purity_con	9.247809e-06
1	0	drain_con	1.365123e-01
1	0	validity_con	-0.000000e+00
1	1	obj	-3.163280e+00
1	1	feed_con1	-0.000000e+00
1	1	feed_con2	0.000000e+00
1	1	purity_con	7.702362e-06
1	1	drain_con	-3.312810e-02
1	1	validity_con	-0.000000e+00
1	2	obj	-6.316733e-01
1	2	feed_con1	0.000000e+00
1	2	feed_con2	-0.000000e+00
1	2	purity_con	-1.585511e-05
1	2	drain_con	4.803356e-02
1	2	validity_con	-0.000000e+00
1	3	obj	-5.954543e-01
1	3	feed_con1	0.000000e+00
1	3	feed_con2	-0.000000e+00
1	3	purity_con	-7.690769e-06
1	3	drain_con	3.634748e-02
1	3	validity_con	-0.000000e+00
1	4	obj	1.801571e+00
1	4	feed_con1	-0.000000e+00
1	4	feed_con2	0.000000e+00
1	4	purity_con	-1.014401e-05
1	4	drain_con	9.323436e-02
1	4	validity_con	-0.000000e+00
1	5	obj	-2.820503e+00
1	5	feed_con1	-0.000000e+00
1	5	feed_con2	-0.000000e+00
1	5	purity_con	-1.725991e-06
1	5	drain_con	-8.819481e-03
1	5	validity_con	0.000000e+00
2	0	obj	-2.295580e+00
2	0	feed_con1	0.000000e+00
2	0	feed_con2	-0.000000e+00
2	0	purity_con	1.018474e-05
2	0	drain_con	-1.268609e-01
2	0	validity_con	0.000000e+00
2	1	obj	3.927940e-01
2	1	feed_con1	-0.000000e+00
2	1	feed_con2	0.000000e+00
2	1	purity_con	-7.062909e-06
2	1	drain_con	6.768185e-02
2	1	validity_con	-0.000000e+00
2	2	obj	3.374024e-01
2	2	feed_con1	-0.000000e+00
2	2	feed_con2	-0.000000e+00
2	2	purity_con	3.733246e-06
2	2	drain_con	1.056363e-02
2	2	validity_con	0.000000e+00
2	3	obj	-2.386682e+00
2	3	feed_con1	0.000000e+00
2	3	feed_con2	-0.000000e+00
2	3	purity_con	-1.739196e-05
2	3	drain_con	-1.021552e-02
2	3	validity_con	-0.000000e+00
2	4	obj	4.000000e+00
2	4	feed_con1	-0.000000e+00
2	4	feed_con2	0.000000e+00
