RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.000000e+00	1.000000e+00	1.220000e+00	1.220000e+00	2.110000e+00	2.110000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
3	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
4	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
5	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
6	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
7	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
8	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
9	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
10	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
11	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
12	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
13	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
14	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
15	-1.000000e+00	1.000000e+00	1.220000e+00	1.330000e+00	2.110000e+00	1.910000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
