RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.341000e+00
2	1.163978e-01	1.401572e-01	1.304135e-01
3	1.488992e-01	1.236227e-03	1.490228e-01
4	1.458191e-01	7.198980e-03	1.465390e-01
5	1.462143e-01	3.602541e-03	1.465746e-01
6	1.462143e-01	3.602539e-03	1.465746e-01
7	1.462143e-01	3.602540e-03	1.465746e-01
8	1.462143e-01	3.602542e-03	1.465746e-01
9	1.462143e-01	3.602540e-03	1.465746e-01
10	1.453467e-01	2.043298e-03	1.455511e-01
11	1.454230e-01	1.781905e-03	1.456012e-01
12	1.451963e-01	1.220486e-03	1.453184e-01
13	1.454812e-01	3.406349e-05	1.454846e-01
14	1.454344e-01	-1.239246e-05	1.454344e-01
15	1.454433e-01	-4.913074e-05	1.454433e-01
16	1.454186e-01	-4.147637e-05	1.454186e-01
17	1.453982e-01	6.353649e-05	1.454046e-01
18	1.454152e-01	-3.443096e-05	1.454152e-01
19	1.453999e-01	4.608989e-05	1.454045e-01
20	1.454129e-01	-2.802170e-05	1.454129e-01
21	1.454012e-01	3.377101e-05	1.454046e-01
22	1.454111e-01	-2.239047e-05	1.454111e-01
23	1.454023e-01	2.495132e-05	1.454048e-01
24	1.454099e-01	-1.766812e-05	1.454099e-01
25	1.454031e-01	1.856049e-05	1.454050e-01
