RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.608487e-01	-4.435039e-01
2	6.000306e-01	-5.186541e-02
3	6.000305e-01	-5.186543e-02
4	3.384746e-01	-4.174994e-01
5	3.930748e-01	-3.702410e-01
6	3.427178e-01	-4.110481e-01
7	3.871898e-01	-3.763815e-01
8	3.871898e-01	-3.763815e-01
9	3.871898e-01	-3.763815e-01
10	3.871898e-01	-3.763815e-01
11	3.871896e-01	-3.763817e-01
12	3.682024e-01	-3.929622e-01
13	3.665623e-01	-3.945263e-01
14	3.681851e-01	-3.932360e-01
15	3.667701e-01	-3.943638e-01
16	3.680059e-01	-3.933797e-01
17	3.669273e-01	-3.942393e-01
18	3.678692e-01	-3.934892e-01
19	3.670471e-01	-3.941444e-01
20	3.677650e-01	-3.935726e-01
21	3.671383e-01	-3.940720e-01
22	3.676855e-01	-3.936361e-01
23	3.672078e-01	-3.940167e-01
24	3.676249e-01	-3.936845e-01
25	3.672608e-01	-3.939746e-01
