RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.848683e-01	1.000000e+00	1.220000e+00	1.220000e+00	-1.100000e-01	-1.100000e-01	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	9.827817e-01	1.000000e+00	2.063503e-01	-3.119690e-01	6.168539e-01	-3.539246e-01	-3.119690e-01	-8.995251e-02	-3.920573e-01	2.294372e-01	-4.766967e-01	0.000000e+00	4.517709e-01
3	-2.002826e+00	2.000000e+00	2.957460e-01	1.434877e-01	4.630596e-01	1.076056e-04	1.440257e-01	-1.468816e-01	-3.616330e-01	4.061620e-01	-4.617092e-01	0.000000e+00	5.734678e-01
4	-2.002182e+00	1.000000e+00	2.844875e-01	1.417271e-01	4.934895e-01	1.083487e-04	1.422688e-01						
5	-2.011130e+00	5.000000e-01	2.844879e-01	1.417273e-01	4.934890e-01	1.077093e-04	1.422658e-01						
6	-2.005006e+00	2.500000e-01	2.844825e-01	1.417246e-01	4.934952e-01	1.165696e-04	1.423074e-01						
7	-2.016680e+00	1.250000e-01	2.844862e-01	1.417264e-01	4.934910e-01	1.105121e-04	1.422790e-01						
8	-6.131376e-01	6.250000e-02	2.844792e-01	1.417229e-01	4.934990e-01	1.220388e-04	1.423331e-01						
9	3.801780e-01	3.125000e-02	2.869095e-01	1.424970e-01	4.836577e-01	1.220498e-04	1.431072e-01						
10	1.513471e-02	3.125000e-02	2.909850e-01	1.450165e-01	4.730005e-01	1.106784e-04	1.455699e-01	-1.454923e-01	-3.811297e-01	3.817396e-01	-4.717397e-01	0.000000e+00	4.954812e-01
11	8.680719e-01	3.125000e-02	2.886182e-01	1.447707e-01	4.816664e-01	1.081621e-04	1.453115e-01	-1.433686e-01	-4.009458e-01	3.575761e-01	-4.803765e-01	0.000000e+00	4.162168e-01
12	-2.496159e+00	3.125000e-02	2.907976e-01	1.452186e-01	4.747142e-01	1.081644e-04	1.457594e-01	-1.453312e-01	-3.870817e-01	3.754535e-01	-4.744989e-01	0.000000e+00	4.716731e-01
13	-1.540896e+00	1.562500e-02	2.891710e-01	1.451667e-01	4.803941e-01	1.081840e-04	1.457077e-01						
14	-1.073461e-01	7.812500e-03	2.894695e-01	1.451799e-01	4.792251e-01	1.108483e-04	1.457341e-01						
15	4.338614e-01	3.906250e-03	2.901221e-01	1.452870e-01	4.769366e-01	1.129051e-04	1.458515e-01						
16	1.208891e-01	3.906250e-03	2.904778e-01	1.453781e-01	4.757934e-01	1.205052e-04	1.459806e-01	-1.450922e-01	-3.895706e-01	3.724413e-01	-4.756107e-01	0.000000e+00	4.617174e-01
