RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.440000e+00
2	1.163978e-01	1.401572e-01	2.565550e-01
3	1.488644e-01	1.350387e-03	1.502148e-01
4	1.457823e-01	7.313364e-03	1.530956e-01
5	1.457825e-01	7.312805e-03	1.530953e-01
6	1.457796e-01	7.320543e-03	1.531001e-01
7	1.457816e-01	7.315252e-03	1.530968e-01
8	1.457778e-01	7.325315e-03	1.531031e-01
9	1.443838e-01	3.780472e-03	1.481643e-01
10	1.454619e-01	1.573680e-04	1.456192e-01
11	1.453528e-01	5.900998e-04	1.459429e-01
12	1.453523e-01	5.914263e-04	1.459438e-01
13	1.453530e-01	5.895203e-04	1.459425e-01
14	1.453185e-01	4.966866e-04	1.458152e-01
15	1.453146e-01	2.590577e-04	1.455736e-01
16	1.453572e-01	1.760378e-04	1.455332e-01
17	1.453739e-01	8.533630e-05	1.454592e-01
18	1.453624e-01	1.504566e-04	1.455129e-01
19	1.453747e-01	8.308607e-05	1.454578e-01
20	1.453646e-01	1.372221e-04	1.455018e-01
21	1.453721e-01	9.156934e-05	1.454637e-01
22	1.453636e-01	1.352117e-04	1.454989e-01
23	1.453723e-01	9.212234e-05	1.454644e-01
24	1.453662e-01	1.243607e-04	1.454906e-01
25	1.453713e-01	9.619192e-05	1.454675e-01
26	1.453668e-01	1.203483e-04	1.454872e-01
27	1.453707e-01	9.892866e-05	1.454696e-01
28	1.453673e-01	1.173750e-04	1.454847e-01
29	1.453702e-01	1.010809e-04	1.454713e-01
30	1.453677e-01	1.151585e-04	1.454828e-01
