RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.294372e-01	-3.920573e-01
2	4.061620e-01	-3.616330e-01
3	3.327363e-01	-4.168610e-01
4	3.943029e-01	-3.691152e-01
5	3.415118e-01	-4.116975e-01
6	3.879794e-01	-3.755142e-01
7	3.480262e-01	-4.076756e-01
8	3.480269e-01	-4.076769e-01
9	3.480262e-01	-4.076755e-01
10	3.480267e-01	-4.076765e-01
11	3.480260e-01	-4.076750e-01
12	3.640162e-01	-3.955724e-01
13	3.696490e-01	-3.919613e-01
14	3.653793e-01	-3.953688e-01
15	3.653784e-01	-3.953670e-01
16	3.653755e-01	-3.953615e-01
17	3.653780e-01	-3.953653e-01
18	3.665862e-01	-3.943873e-01
19	3.681099e-01	-3.931673e-01
20	3.688686e-01	-3.925563e-01
21	3.692445e-01	-3.922520e-01
22	3.694290e-01	-3.921064e-01
23	3.695102e-01	-3.920358e-01
24	3.695424e-01	-3.920094e-01
25	3.695526e-01	-3.920011e-01
26	3.695553e-01	-3.919989e-01
27	3.695560e-01	-3.919983e-01
28	3.695561e-01	-3.919982e-01
29	3.695561e-01	-3.919982e-01
30	3.695579e-01	-3.920019e-01
