RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.341000e+00
2	1.163978e-01	1.401572e-01	1.304135e-01
3	1.488644e-01	1.350387e-03	1.489995e-01
4	1.457823e-01	7.313364e-03	1.465136e-01
5	1.461776e-01	3.712996e-03	1.465489e-01
6	1.461776e-01	3.712993e-03	1.465489e-01
7	1.461729e-01	3.727823e-03	1.465457e-01
8	1.461764e-01	3.716790e-03	1.465481e-01
9	1.461761e-01	3.717608e-03	1.465479e-01
10	1.453072e-01	2.155489e-03	1.455228e-01
11	1.453857e-01	1.887814e-03	1.455745e-01
12	1.451590e-01	1.331168e-03	1.452921e-01
13	1.454442e-01	1.426902e-04	1.454585e-01
14	1.453942e-01	1.038401e-04	1.454046e-01
15	1.454020e-01	7.136973e-05	1.454092e-01
16	1.453805e-01	6.935475e-05	1.453875e-01
17	1.453601e-01	1.748416e-04	1.453775e-01
18	1.453771e-01	7.637993e-05	1.453848e-01
19	1.453626e-01	1.545701e-04	1.453781e-01
20	1.453757e-01	8.006223e-05	1.453837e-01
21	1.453640e-01	1.421435e-04	1.453782e-01
22	1.453740e-01	8.571412e-05	1.453825e-01
23	1.453639e-01	1.365548e-04	1.453776e-01
24	1.453715e-01	9.380613e-05	1.453809e-01
25	1.453648e-01	1.301521e-04	1.453778e-01
26	1.453706e-01	9.767168e-05	1.453804e-01
27	1.453655e-01	1.254505e-04	1.453780e-01
28	1.453699e-01	1.007642e-04	1.453800e-01
29	1.453660e-01	1.219801e-04	1.453782e-01
30	1.453694e-01	1.032062e-04	1.453797e-01
