RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.928932e-01	-7.928932e-01
2	3.964466e-01	-3.964466e-01
3	3.611218e-01	-3.989243e-01
4	3.729487e-01	-3.892208e-01
5	3.624167e-01	-3.976419e-01
6	3.624167e-01	-3.976419e-01
7	3.624162e-01	-3.976410e-01
8	3.624169e-01	-3.976423e-01
9	3.624170e-01	-3.976425e-01
10	3.624153e-01	-3.976394e-01
11	3.624154e-01	-3.976394e-01
12	3.624160e-01	-3.976404e-01
13	3.624149e-01	-3.976372e-01
14	3.668492e-01	-3.941031e-01
15	3.698963e-01	-3.916601e-01
16	3.650843e-01	-3.955909e-01
17	3.668832e-01	-3.941471e-01
18	3.677767e-01	-3.934652e-01
19	3.670203e-01	-3.940713e-01
20	3.676848e-01	-3.935465e-01
21	3.671090e-01	-3.940076e-01
22	3.676134e-01	-3.936059e-01
23	3.671721e-01	-3.939547e-01
24	3.675547e-01	-3.936482e-01
25	3.672213e-01	-3.939187e-01
26	3.672195e-01	-3.939153e-01
27	3.675139e-01	-3.936856e-01
28	3.672603e-01	-3.938872e-01
29	3.674814e-01	-3.937111e-01
30	3.672884e-01	-3.938648e-01
