RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571699e-01	-3.216993e-02	1.571699e-01
4	1.454893e-01	1.701797e-04	1.463402e-01
5	1.454242e-01	1.025951e-04	1.459371e-01
6	1.453529e-01	4.186013e-04	1.474459e-01
7	1.453529e-01	4.186043e-04	1.474459e-01
8	1.453523e-01	4.201594e-04	1.474531e-01
9	1.453531e-01	4.179816e-04	1.474430e-01
10	1.453532e-01	4.176429e-04	1.474414e-01
11	1.453513e-01	4.229947e-04	1.474663e-01
12	1.453513e-01	4.229656e-04	1.474662e-01
13	1.453520e-01	4.210926e-04	1.474575e-01
14	1.453502e-01	4.260987e-04	1.474807e-01
15	1.453192e-01	2.618064e-04	1.466282e-01
16	1.453473e-01	1.811946e-04	1.462532e-01
17	1.453547e-01	2.260060e-04	1.464847e-01
18	1.453492e-01	1.746121e-04	1.462223e-01
19	1.453672e-01	1.077986e-04	1.459062e-01
20	1.453639e-01	1.293433e-04	1.460106e-01
21	1.453699e-01	1.009819e-04	1.458748e-01
22	1.453673e-01	1.178337e-04	1.459564e-01
23	1.453704e-01	1.004754e-04	1.458728e-01
24	1.453665e-01	1.187431e-04	1.459602e-01
25	1.453681e-01	1.077557e-04	1.459069e-01
26	1.453681e-01	1.132640e-04	1.459344e-01
27	1.453660e-01	1.191818e-04	1.459619e-01
28	1.453699e-01	1.032196e-04	1.458860e-01
29	1.453681e-01	1.124636e-04	1.459304e-01
30	1.453695e-01	1.048908e-04	1.458939e-01
