RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.445903e+00	1.000000e+00	4.500000e+00	4.500000e+00	-2.750000e+00	-2.750000e+00	4.500000e+00	-2.250000e+00	-1.500000e+00	1.500000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	1.500000e+00	2.000000e+00	1.257359e+00	1.128680e+00	-4.215729e-01	-1.735858e+00	1.128680e+00	-6.286797e-01	-7.928932e-01	7.928932e-01	-3.284271e-01	0.000000e+00	-1.151573e+00
3	9.652371e-01	4.000000e+00	3.143398e-01	3.143398e-01	4.463835e-01	-3.385808e-01	3.143398e-01	-1.571699e-01	-3.964466e-01	3.964466e-01	-4.785534e-01	0.000000e+00	4.342135e-01
4	7.685132e-01	4.000000e+00	2.896222e-01	1.454371e-01	4.796557e-01	-6.617797e-09	1.454371e-01	-1.440955e-01	-3.989852e-01	3.611551e-01	-4.795920e-01	0.000000e+00	4.240590e-01
5	-9.248670e+00	4.000000e+00	2.906597e-01	1.453462e-01	4.754648e-01	-6.143457e-09	1.453462e-01	-1.451981e-01	-3.892525e-01	3.730177e-01	-4.754700e-01	0.000000e+00	4.629898e-01
6	-9.248670e+00	2.000000e+00	2.895379e-01	1.453009e-01	4.793813e-01	-6.391252e-09	1.453009e-01						
7	-9.248670e+00	1.000000e+00	2.895379e-01	1.453009e-01	4.793813e-01	-6.389148e-09	1.453009e-01						
8	-9.248670e+00	5.000000e-01	2.895379e-01	1.453009e-01	4.793813e-01	-6.380730e-09	1.453009e-01						
9	-9.248670e+00	2.500000e-01	2.895379e-01	1.453009e-01	4.793813e-01	-6.347033e-09	1.453009e-01						
10	-9.248670e+00	1.250000e-01	2.895379e-01	1.453009e-01	4.793813e-01	-6.391252e-09	1.453009e-01						
11	-9.248658e+00	6.250000e-02	2.895379e-01	1.453009e-01	4.793813e-01	-6.391252e-09	1.453009e-01						
12	-9.248615e+00	3.125000e-02	2.895379e-01	1.453009e-01	4.793813e-01	-6.391252e-09	1.453009e-01						
13	-9.247930e+00	1.562500e-02	2.895379e-01	1.453009e-01	4.793813e-01	-6.391259e-09	1.453009e-01						
14	-4.720506e+00	7.812500e-03	2.895379e-01	1.453009e-01	4.793811e-01	-6.409626e-09	1.453009e-01						
15	-2.881540e+00	3.906250e-03	2.899773e-01	1.453293e-01	4.777326e-01	-2.308989e-09	1.453293e-01						
16	-2.134498e+00	1.953125e-03	2.903054e-01	1.453813e-01	4.766023e-01	-6.346652e-09	1.453813e-01						
17	-1.730381e+00	9.765625e-04	2.904779e-01	1.454173e-01	4.760364e-01	-6.337829e-09	1.454173e-01						
18	-1.418178e+00	4.882812e-04	2.905660e-01	1.454377e-01	4.757538e-01	-6.333819e-09	1.454377e-01						
19	-1.096323e+00	2.441406e-04	2.906102e-01	1.454484e-01	4.756135e-01	-6.332625e-09	1.454484e-01						
20	-7.834279e-01	1.220703e-04	2.906318e-01	1.454537e-01	4.755454e-01	-6.333457e-09	1.454537e-01						
21	-5.806676e-01	6.103516e-05	2.906416e-01	1.454562e-01	4.755146e-01	-6.336554e-09	1.454562e-01						
22	-5.004136e-01	3.051758e-05	2.906454e-01	1.454571e-01	4.755028e-01	-6.337801e-09	1.454571e-01						
23	-4.768920e-01	1.525879e-05	2.906465e-01	1.454574e-01	4.754991e-01	-6.341558e-09	1.454574e-01						
24	-4.707482e-01	7.629395e-06	2.906469e-01	1.454575e-01	4.754982e-01	-6.342260e-09	1.454575e-01						
25	-4.691948e-01	3.814697e-06	2.906469e-01	1.454575e-01	4.754979e-01	-6.342452e-09	1.454575e-01						
26	-4.688054e-01	1.907349e-06	2.906470e-01	1.454575e-01	4.754978e-01	-6.342501e-09	1.454575e-01						
27	-4.687079e-01	9.536743e-07	2.906470e-01	1.454575e-01	4.754978e-01	-6.342514e-09	1.454575e-01						
28	-4.687170e-01	4.768372e-07	2.906470e-01	1.454575e-01	4.754978e-01	-6.342517e-09	1.454575e-01						
29	-4.687193e-01	2.384186e-07	2.906470e-01	1.454575e-01	4.754978e-01	-6.342517e-09	1.454575e-01						
30		1.192093e-07	2.906470e-01	1.454575e-01	4.754978e-01	-6.342518e-09	1.454575e-01						
