RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571699e-01	-3.216993e-02	1.571699e-01
4	1.454893e-01	1.701797e-04	1.455063e-01
5	1.454242e-01	1.025951e-04	1.454344e-01
6	1.453529e-01	4.186013e-04	1.453947e-01
7	1.454076e-01	6.907511e-05	1.454145e-01
8	1.454076e-01	6.907511e-05	1.454145e-01
9	1.454076e-01	6.907823e-05	1.454145e-01
10	1.454078e-01	6.843230e-05	1.454146e-01
11	1.454079e-01	6.808163e-05	1.454147e-01
12	1.454060e-01	7.369908e-05	1.454134e-01
13	1.454060e-01	7.366583e-05	1.454134e-01
14	1.454067e-01	7.166719e-05	1.454138e-01
15	1.454049e-01	7.687108e-05	1.454126e-01
16	1.453790e-01	7.060226e-05	1.453861e-01
17	1.453603e-01	1.584738e-04	1.453761e-01
18	1.453722e-01	9.019642e-05	1.453813e-01
19	1.453709e-01	9.419305e-05	1.453803e-01
20	1.453736e-01	8.861949e-05	1.453824e-01
21	1.453749e-01	9.572619e-05	1.453845e-01
22	1.453758e-01	1.019057e-04	1.453860e-01
23	1.453759e-01	1.068732e-04	1.453866e-01
24	1.453751e-01	1.117266e-04	1.453862e-01
25	1.453744e-01	1.146119e-04	1.453859e-01
26	1.453742e-01	1.155941e-04	1.453857e-01
27	1.453741e-01	1.158521e-04	1.453857e-01
28	1.453741e-01	1.159569e-04	1.453857e-01
29	1.453741e-01	1.159516e-04	1.453857e-01
30	1.453741e-01	1.159559e-04	1.453857e-01
