RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571699e-01	-3.216994e-02	1.571699e-01
4	3.929248e-02	4.446225e-01	3.929248e-02
5	9.823120e-03	7.124882e-01	9.823120e-03
6	2.455780e-03	8.537883e-01	2.455780e-03
7	6.139450e-04	9.262802e-01	6.139450e-04
8	1.534863e-04	9.629866e-01	1.534863e-04
9	3.837157e-05	9.814549e-01	3.837157e-05
10	9.592895e-06	9.907179e-01	9.592895e-06
11	2.398225e-06	9.953565e-01	2.398225e-06
12	5.995566e-07	9.976777e-01	5.995566e-07
13	1.498894e-07	9.988387e-01	1.498894e-07
14	3.747247e-08	9.994193e-01	3.747247e-08
15	9.368179e-09	9.997096e-01	9.368179e-09
16	2.342075e-09	9.998548e-01	2.342075e-09
17	5.855339e-10	9.999274e-01	5.855339e-10
18	1.463911e-10	9.999637e-01	1.463911e-10
19	3.660156e-11	9.999819e-01	3.660156e-11
20	9.152285e-12	9.999909e-01	9.152285e-12
21	2.289019e-12	9.999955e-01	2.289019e-12
22	5.727290e-13	9.999977e-01	5.727290e-13
23	1.434195e-13	9.999989e-01	1.434195e-13
24	3.597362e-14	9.999994e-01	3.597362e-14
25	9.052939e-15	9.999997e-01	9.052939e-15
26	2.293142e-15	9.999999e-01	2.293142e-15
27	5.883830e-16	9.999999e-01	5.883830e-16
28	1.547970e-16	1.000000e+00	1.547970e-16
29	4.269046e-17	1.000000e+00	4.269046e-17
30	1.282069e-17	1.000000e+00	1.282069e-17
