RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.033284e+00	1.000000e+00	1.220000e+00	1.220000e+00	2.090000e+00	2.090000e+00	3.310000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	1.832276e-01	2.000000e+00	2.225680e-01	6.165072e-01	9.641530e-01	2.276767e-01	8.441839e-01	7.133704e-02	-4.435039e-01	-1.608487e-01	-4.936164e-01	0.000000e+00	2.459845e-01
3	3.112423e-01	2.000000e+00	3.627267e-01	3.361625e-02	3.972794e-01	1.727496e-08	3.361627e-02	-3.112088e-02	-5.186549e-02	6.000305e-01	-9.835093e-02	0.000000e+00	1.812538e+00
4	7.213226e-01	2.000000e+00	1.775720e-01	-4.429036e-02	7.576276e-01	-2.316715e-08	-4.429036e-02	-2.894706e-02	-4.155967e-01	6.965181e-02	-4.857522e-01	0.000000e+00	3.576132e-01
5	4.884407e-02	2.000000e+00	3.108629e-01	1.210825e-01	4.396093e-01	6.285166e-09	1.210825e-01	-1.370563e-01	-2.865666e-01	4.782702e-01	-4.088924e-01	0.000000e+00	8.737334e-01
6	2.868621e-01	2.000000e+00	2.629152e-01	1.141014e-01	5.451933e-01	-1.564693e-09	1.141014e-01	-1.145991e-01	-4.425648e-01	2.589431e-01	-4.934024e-01	0.000000e+00	2.497406e-01
7	1.165495e-01	2.000000e+00	2.915109e-01	1.307639e-01	4.626928e-01	2.900103e-09	1.307639e-01	-1.390778e-01	-3.195989e-01	4.351638e-01	-4.349109e-01	0.000000e+00	7.416045e-01
8	3.060204e-01	2.000000e+00	2.736433e-01	1.304812e-01	5.189027e-01	-9.104022e-10	1.304812e-01	-1.271441e-01	-4.328558e-01	2.937332e-01	-4.909833e-01	0.000000e+00	2.885769e-01
9	7.658187e-02	2.000000e+00	2.918171e-01	1.375503e-01	4.649840e-01	2.153445e-09	1.375503e-01	-1.431133e-01	-3.427609e-01	4.175310e-01	-4.505517e-01	0.000000e+00	6.489565e-01
10	3.130380e-01	2.000000e+00	2.801449e-01	1.376734e-01	5.038610e-01	-1.644969e-09	1.376734e-01	-1.340977e-01	-4.249070e-01	3.155930e-01	-4.887221e-01	0.000000e+00	3.203718e-01
11	3.447462e-02	2.000000e+00	2.919059e-01	1.410428e-01	4.670742e-01	1.657530e-09	1.410428e-01	-1.448057e-01	-3.573358e-01	4.052370e-01	-4.592938e-01	0.000000e+00	5.906570e-01
12	3.378515e-01	2.000000e+00	2.836951e-01	1.411652e-01	4.952838e-01	-1.109877e-09	1.411652e-01	-1.379314e-01	-4.182678e-01	3.297682e-01	-4.866397e-01	0.000000e+00	3.469287e-01
13	-1.976718e-02	2.000000e+00	2.918424e-01	1.429486e-01	4.689245e-01	4.759948e-10	1.429486e-01	-1.454998e-01	-3.672049e-01	3.962361e-01	-4.647309e-01	0.000000e+00	5.511805e-01
14	-1.976718e-02	1.000000e+00	2.858113e-01	1.430046e-01	4.899212e-01	-7.483005e-10	1.430046e-01						
15	-1.976718e-02	5.000000e-01	2.858113e-01	1.430046e-01	4.899212e-01	-6.983794e-10	1.430046e-01						
16	-1.976718e-02	2.500000e-01	2.858113e-01	1.430046e-01	4.899212e-01	-7.483007e-10	1.430046e-01						
17	-1.976668e-02	1.250000e-01	2.858113e-01	1.430046e-01	4.899212e-01	-2.714683e-10	1.430046e-01						
18	2.134808e-01	6.250000e-02	2.858113e-01	1.430046e-01	4.899212e-01	-7.483004e-10	1.430046e-01						
19	5.816890e-01	6.250000e-02	2.865565e-01	1.430992e-01	4.865753e-01	-6.606172e-10	1.430992e-01	-1.415420e-01	-4.068368e-01	3.479085e-01	-4.826412e-01	0.000000e+00	3.926527e-01
20	-2.587330e-01	6.250000e-02	2.913746e-01	1.447846e-01	4.724068e-01	8.187124e-10	1.447846e-01	-1.456856e-01	-3.807720e-01	3.826059e-01	-4.715693e-01	0.000000e+00	4.969122e-01
21	6.023205e-02	3.125000e-02	2.882819e-01	1.447444e-01	4.831905e-01	-2.454246e-10	1.447444e-01						
22	7.518345e-01	3.125000e-02	2.887358e-01	1.447773e-01	4.813388e-01	-1.990808e-10	1.447773e-01	-1.434810e-01	-4.004322e-01	3.583153e-01	-4.801725e-01	0.000000e+00	4.182713e-01
23	-9.313366e-01	3.125000e-02	2.908232e-01	1.452810e-01	4.748275e-01	5.301291e-10	1.452810e-01	-1.453302e-01	-3.876535e-01	3.748973e-01	-4.747565e-01	0.000000e+00	4.693862e-01
24	-5.425174e-01	1.562500e-02	2.893194e-01	1.452306e-01	4.800747e-01	1.650296e-11	1.452306e-01						
25	2.660928e-01	7.812500e-03	2.895050e-01	1.452361e-01	4.793443e-01	3.252677e-11	1.452361e-01						
26	4.100087e-01	7.812500e-03	2.901428e-01	1.453234e-01	4.770641e-01	9.071949e-11	1.453234e-01	-1.447895e-01	-3.925697e-01	3.688249e-01	-4.769175e-01	0.000000e+00	4.497212e-01
27	8.935945e-01	7.812500e-03	2.899675e-01	1.453921e-01	4.779629e-01	2.107687e-10	1.453921e-01	-1.445691e-01	-3.948943e-01	3.660956e-01	-4.779056e-01	0.000000e+00	4.404229e-01
28	-1.536991e+00	7.812500e-03	2.902369e-01	1.454092e-01	4.770318e-01	2.989305e-10	1.454092e-01	-1.448227e-01	-3.929104e-01	3.685896e-01	-4.770636e-01	0.000000e+00	4.483584e-01
29	-1.535833e+00	3.906250e-03	2.900039e-01	1.453967e-01	4.778411e-01	2.206446e-10	1.453967e-01						
30		1.953125e-03	2.900040e-01	1.453967e-01	4.778408e-01	1.706520e-10	1.453967e-01						
