RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.086125e-01	-2.309611e-01
2	3.477643e-01	-3.741141e-01
3	3.579364e-01	-4.000735e-01
4	3.747085e-01	-3.877299e-01
5	3.608153e-01	-3.988405e-01
6	3.608153e-01	-3.988405e-01
7	3.608148e-01	-3.988396e-01
8	3.608155e-01	-3.988409e-01
9	3.608149e-01	-3.988398e-01
10	3.608139e-01	-3.988380e-01
11	3.608139e-01	-3.988380e-01
12	3.608146e-01	-3.988390e-01
13	3.625129e-01	-3.974970e-01
14	3.686295e-01	-3.926379e-01
15	3.661651e-01	-3.947426e-01
16	3.684222e-01	-3.929503e-01
17	3.664580e-01	-3.945206e-01
18	3.664585e-01	-3.945213e-01
19	3.664556e-01	-3.945144e-01
20	3.668943e-01	-3.941695e-01
21	3.676524e-01	-3.935579e-01
22	3.680277e-01	-3.932537e-01
23	3.672712e-01	-3.938756e-01
24	3.676439e-01	-3.935697e-01
25	3.678255e-01	-3.934215e-01
26	3.679071e-01	-3.933540e-01
27	3.679383e-01	-3.933280e-01
28	3.679479e-01	-3.933198e-01
29	3.679538e-01	-3.933214e-01
30	3.678738e-01	-3.933815e-01
