RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.064252e+00	1.000000e+00	1.220000e+00	1.220000e+00	2.090000e+00	2.090000e+00	2.265000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	1.177861e+00	2.000000e+00	6.513969e-02	2.200581e-01	1.055269e+00	6.631125e-01	5.516144e-01	2.508526e-02	-2.309611e-01	-1.086125e-01	-3.552361e-01	0.000000e+00	1.096156e+00
3	9.105960e-01	4.000000e+00	2.609014e-01	1.961296e-01	5.122743e-01	1.201765e-04	1.961897e-01	-1.301035e-01	-3.741141e-01	3.477643e-01	-4.683055e-01	0.000000e+00	5.235434e-01
4	6.434120e-01	4.000000e+00	2.881773e-01	1.452405e-01	4.820047e-01	1.083476e-04	1.452947e-01	-1.432009e-01	-4.000735e-01	3.579364e-01	-4.800294e-01	0.000000e+00	4.197058e-01
5	-3.652873e-01	4.000000e+00	2.907409e-01	1.452482e-01	4.749570e-01	1.083479e-04	1.453024e-01	-1.452857e-01	-3.877299e-01	3.747085e-01	-4.747908e-01	0.000000e+00	4.690805e-01
6	-3.652895e-01	2.000000e+00	2.892614e-01	1.451993e-01	4.801110e-01	1.083472e-04	1.452535e-01						
7	-3.664405e-01	1.000000e+00	2.892614e-01	1.451993e-01	4.801110e-01	1.083503e-04	1.452535e-01						
8	-3.648293e-01	5.000000e-01	2.892604e-01	1.451988e-01	4.801122e-01	1.099536e-04	1.452537e-01						
9	-3.662090e-01	2.500000e-01	2.892618e-01	1.451995e-01	4.801105e-01	1.077084e-04	1.452534e-01						
10	-3.685784e-01	1.250000e-01	2.892606e-01	1.451989e-01	4.801119e-01	1.096315e-04	1.452537e-01						
11	-3.685592e-01	6.250000e-02	2.892584e-01	1.451978e-01	4.801143e-01	1.129242e-04	1.452542e-01						
12	-3.671278e-01	3.125000e-02	2.892584e-01	1.451978e-01	4.801143e-01	1.128996e-04	1.452542e-01						
13	-1.135086e-01	1.562500e-02	2.892597e-01	1.451984e-01	4.801129e-01	1.109236e-04	1.452539e-01						
14	4.782312e-01	7.812500e-03	2.894195e-01	1.452026e-01	4.794833e-01	1.108460e-04	1.452580e-01						
15	1.833856e-02	7.812500e-03	2.900522e-01	1.452845e-01	4.772060e-01	1.129054e-04	1.453409e-01	-1.447379e-01	-3.926379e-01	3.686295e-01	-4.769468e-01	0.000000e+00	4.494485e-01
16	1.671053e+00	7.812500e-03	2.898986e-01	1.453524e-01	4.780132e-01	1.205293e-04	1.454127e-01	-1.445409e-01	-3.947426e-01	3.661651e-01	-4.778417e-01	0.000000e+00	4.410297e-01
17	-1.174946e+01	1.562500e-02	2.901449e-01	1.453692e-01	4.771678e-01	1.164849e-04	1.454275e-01	-1.447716e-01	-3.929503e-01	3.684222e-01	-4.770807e-01	0.000000e+00	4.481986e-01
18	-1.033588e+01	7.812500e-03	2.899380e-01	1.453597e-01	4.778955e-01	1.109267e-04	1.454151e-01						
19	-4.196858e+02	3.906250e-03	2.899389e-01	1.453601e-01	4.778945e-01	1.096226e-04	1.454149e-01						
20	-8.087833e+00	1.953125e-03	2.899313e-01	1.453562e-01	4.779028e-01	1.210284e-04	1.454167e-01						
21	-2.164335e+01	9.765625e-04	2.899810e-01	1.453606e-01	4.777361e-01	1.089594e-04	1.454151e-01						
22	3.580794e+00	4.882812e-04	2.900561e-01	1.453631e-01	4.774598e-01	1.066987e-04	1.454165e-01						
23	-9.556197e-01	9.765625e-04	2.900928e-01	1.453645e-01	4.773239e-01	1.071844e-04	1.454181e-01	-1.447282e-01	-3.932537e-01	3.680277e-01	-4.772105e-01	0.000000e+00	4.469852e-01
24	-5.853374e-01	4.882812e-04	2.900261e-01	1.453665e-01	4.775909e-01	1.024227e-04	1.454177e-01						
25	-2.141355e-01	2.441406e-04	2.900592e-01	1.453655e-01	4.774590e-01	1.072856e-04	1.454192e-01						
26	-1.158396e-01	1.220703e-04	2.900761e-01	1.453656e-01	4.773941e-01	1.085983e-04	1.454199e-01						
27	-1.284316e-01	6.103516e-05	2.900830e-01	1.453653e-01	4.773655e-01	1.102409e-04	1.454204e-01						
28	-1.581929e-01	3.051758e-05	2.900855e-01	1.453650e-01	4.773548e-01	1.111679e-04	1.454206e-01						
29	6.186485e-01	1.525879e-05	2.900862e-01	1.453650e-01	4.773515e-01	1.115263e-04	1.454207e-01						
30		1.525879e-05	2.900917e-01	1.453676e-01	4.773445e-01	1.038095e-04	1.454195e-01	-1.447241e-01	-3.933214e-01	3.679538e-01	-4.772393e-01	0.000000e+00	4.467145e-01
