RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.521000e+00
2	9.022495e-02	7.000333e-01	1.602283e-01
3	1.307978e-01	4.396884e-02	1.351947e-01
4	1.308002e-01	4.396135e-02	1.351964e-01
5	9.125143e-02	1.962205e-01	1.108735e-01
6	1.401072e-01	4.153767e-02	1.442610e-01
7	1.401068e-01	4.153882e-02	1.442607e-01
8	1.401074e-01	4.153720e-02	1.442611e-01
9	1.169308e-01	1.050704e-01	1.274378e-01
10	1.004804e-01	1.477106e-01	1.152514e-01
11	9.465298e-02	1.706043e-01	1.117134e-01
12	9.265306e-02	1.830638e-01	1.109594e-01
13	9.187832e-02	1.895526e-01	1.108336e-01
14	9.268961e-02	1.829308e-01	1.109827e-01
15	9.226629e-02	1.862162e-01	1.108879e-01
16	9.206927e-02	1.878722e-01	1.108565e-01
17	9.197576e-02	1.886979e-01	1.108455e-01
18	9.193277e-02	1.890995e-01	1.108427e-01
19	9.191612e-02	1.892810e-01	1.108442e-01
20	9.191293e-02	1.893504e-01	1.108480e-01
21	9.191453e-02	1.893716e-01	1.108517e-01
22	9.191652e-02	1.893772e-01	1.108542e-01
23	9.191786e-02	1.893786e-01	1.108557e-01
24	9.191860e-02	1.893789e-01	1.108565e-01
25	9.191897e-02	1.893789e-01	1.108569e-01
26	9.191913e-02	1.893789e-01	1.108570e-01
27	9.191919e-02	1.893789e-01	1.108571e-01
28	9.191920e-02	1.893789e-01	1.108571e-01
29	9.191921e-02	1.893789e-01	1.108571e-01
30	9.191921e-02	1.893789e-01	1.108571e-01
