RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.521000e+00
2	9.267059e-02	2.028089e+00	2.954795e-01
3	3.056608e-02	9.803339e-01	1.285995e-01
4	6.052446e-03	8.607233e-01	9.212478e-02
5	1.823012e-02	6.508844e-01	8.331856e-02
6	1.460282e-02	6.595520e-01	8.055803e-02
7	1.947177e-02	6.025701e-01	7.972877e-02
8	1.762583e-02	6.170967e-01	7.933550e-02
9	1.940384e-02	5.982577e-01	7.922961e-02
10	1.850854e-02	6.064317e-01	7.915171e-02
11	1.920167e-02	5.993981e-01	7.914148e-02
12	1.879985e-02	6.032279e-01	7.912264e-02
13	1.908174e-02	6.004242e-01	7.912416e-02
14	1.908174e-02	6.004242e-01	7.912416e-02
15	1.908174e-02	6.004242e-01	7.912416e-02
16	1.908174e-02	6.004242e-01	7.912416e-02
17	1.908174e-02	6.004242e-01	7.912416e-02
18	1.908174e-02	6.004242e-01	7.912416e-02
19	1.908174e-02	6.004242e-01	7.912416e-02
20	1.908173e-02	6.004242e-01	7.912416e-02
21	1.908173e-02	6.004243e-01	7.912416e-02
22	1.908133e-02	6.004281e-01	7.912413e-02
23	1.893885e-02	6.017953e-01	7.911838e-02
24	1.898189e-02	6.013714e-01	7.911904e-02
25	1.898177e-02	6.013726e-01	7.911903e-02
26	1.898065e-02	6.013837e-01	7.911901e-02
27	1.896540e-02	6.015333e-01	7.911874e-02
28	1.895443e-02	6.016414e-01	7.911857e-02
29	1.895026e-02	6.016825e-01	7.911851e-02
30	1.894898e-02	6.016952e-01	7.911850e-02
