RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-2.294372e-01	3.920573e-01
2	-1.960286e-01	1.147186e-01
3	-5.735929e-02	9.801431e-02
4	-4.900716e-02	2.867964e-02
5	-1.433982e-02	2.450358e-02
6	-1.225179e-02	7.169911e-03
7	-3.584955e-03	6.125894e-03
8	-3.062947e-03	1.792477e-03
9	-8.962383e-04	1.531473e-03
10	-7.657362e-04	4.481188e-04
11	-2.240591e-04	3.828678e-04
12	-1.914336e-04	1.120292e-04
13	-5.601431e-05	9.571648e-05
14	-4.785793e-05	2.800684e-05
15	-1.400311e-05	2.392865e-05
16	-1.196401e-05	7.001240e-06
17	-3.500307e-06	5.981692e-06
18	-2.990533e-06	1.749840e-06
19	-8.746067e-07	1.494953e-06
20	-7.471632e-07	4.369900e-07
21	-2.181817e-07	3.732683e-07
22	-1.863208e-07	1.087775e-07
23	-5.407542e-08	9.284707e-08
24	-4.611020e-08	2.672438e-08
25	-1.304886e-08	2.274177e-08
26	-1.105755e-08	6.211098e-09
27	-2.792218e-09	5.215446e-09
28	-2.294392e-09	1.082778e-09
29	-2.280580e-10	8.338650e-10
30	-1.036015e-10	-1.993021e-10
