RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	9.374911e-01	-1.657986e-02
2	7.630512e-01	-1.144100e-01
3	5.910245e-01	-2.164237e-01
4	4.248511e-01	-3.277181e-01
5	3.023595e-01	-4.296548e-01
6	4.125893e-01	-3.487009e-01
7	3.213150e-01	-4.223036e-01
8	3.356014e-01	-4.125199e-01
9	3.903266e-01	-3.733236e-01
10	3.457440e-01	-4.091202e-01
11	3.515010e-01	-4.048287e-01
12	3.714587e-01	-3.897251e-01
13	3.632079e-01	-3.970292e-01
14	3.709540e-01	-3.908861e-01
15	3.642139e-01	-3.962717e-01
16	3.701072e-01	-3.915810e-01
17	3.649671e-01	-3.956868e-01
18	3.694616e-01	-3.921108e-01
19	3.655432e-01	-3.952413e-01
20	3.689704e-01	-3.925147e-01
21	3.659812e-01	-3.948984e-01
22	3.685924e-01	-3.928203e-01
23	3.663145e-01	-3.946364e-01
24	3.683041e-01	-3.930526e-01
25	3.665681e-01	-3.944363e-01
26	3.680841e-01	-3.932294e-01
27	3.667613e-01	-3.942837e-01
28	3.679164e-01	-3.933639e-01
29	3.669083e-01	-3.941672e-01
30	3.677885e-01	-3.934662e-01
