RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	8.636210e-01	2.962407e-02	1.159862e+00
3	5.080361e-01	2.121840e-02	7.202201e-01
4	2.682374e-01	2.296729e-02	4.979103e-01
5	1.486662e-01	2.711192e-02	4.197854e-01
6	1.461143e-01	2.293416e-02	3.754559e-01
7	1.479520e-01	1.160121e-02	2.639641e-01
8	1.458912e-01	1.241815e-02	2.700727e-01
9	1.443587e-01	9.531527e-03	2.396740e-01
10	1.460072e-01	2.396756e-03	1.699748e-01
11	1.454674e-01	3.394891e-03	1.794163e-01
12	1.451415e-01	2.727839e-03	1.724199e-01
13	1.451004e-01	9.767284e-04	1.548677e-01
14	1.453480e-01	3.658750e-04	1.490068e-01
15	1.453981e-01	6.572369e-05	1.460553e-01
16	1.453554e-01	2.739112e-04	1.480945e-01
17	1.453529e-01	2.811615e-04	1.481645e-01
18	1.453526e-01	2.819980e-04	1.481725e-01
19	1.453439e-01	2.139336e-04	1.474833e-01
20	1.453486e-01	1.588622e-04	1.469372e-01
21	1.453631e-01	1.305363e-04	1.466685e-01
22	1.453731e-01	1.169106e-04	1.465422e-01
23	1.453781e-01	1.120871e-04	1.464990e-01
24	1.453823e-01	1.052034e-04	1.464343e-01
25	1.453814e-01	1.102959e-04	1.464843e-01
26	1.453817e-01	1.102549e-04	1.464842e-01
27	1.453818e-01	1.102098e-04	1.464839e-01
28	1.453818e-01	1.102055e-04	1.464839e-01
29	1.453818e-01	1.101905e-04	1.464837e-01
30	1.453818e-01	1.102031e-04	1.464838e-01
