RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.982800e-01	1.000000e-01	1.220000e+00	1.220000e+00	-1.100000e-01	-1.100000e-01	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	8.337880e-01	1.000000e-01	1.072150e+00	1.091913e+00	-3.574106e-02	-6.783830e-09	1.091913e+00	2.469913e-02	2.385994e-02	1.035172e+00	4.885847e-02	0.000000e+00	2.115440e+00
3	7.751008e-01	1.000000e-01	8.979511e-01	8.711368e-01	5.212792e-02	-1.536223e-07	8.711368e-01	-2.261959e-02	-2.387791e-02	9.473019e-01	-4.661551e-02	0.000000e+00	1.924488e+00
4	7.278134e-01	1.000000e-01	7.425096e-01	6.778907e-01	1.362319e-01	-1.191886e-07	6.778907e-01	-6.049798e-02	-7.044431e-02	8.588057e-01	-1.309638e-01	0.000000e+00	1.738223e+00
5	6.691241e-01	1.000000e-01	6.088034e-01	5.130871e-01	2.147385e-01	-3.346310e-08	5.130871e-01	-9.149345e-02	-1.186399e-01	7.711861e-01	-2.091290e-01	0.000000e+00	1.545440e+00
6	5.893528e-01	1.000000e-01	4.973586e-01	3.773838e-01	2.867626e-01	-7.981465e-08	3.773838e-01	-1.156312e-01	-1.688739e-01	6.847190e-01	-2.807110e-01	0.000000e+00	1.344504e+00
7	4.763045e-01	1.000000e-01	4.085801e-01	2.713454e-01	3.513463e-01	-3.322805e-08	2.713454e-01	-1.327645e-01	-2.214102e-01	5.996312e-01	-3.447755e-01	0.000000e+00	1.134359e+00
8	3.084090e-01	1.000000e-01	3.429439e-01	1.955902e-01	4.073187e-01	-4.277682e-09	1.955902e-01	-1.427539e-01	-2.765455e-01	5.162039e-01	-4.001362e-01	0.000000e+00	9.138179e-01
9	4.337739e-02	1.000000e-01	3.010335e-01	1.508057e-01	4.532170e-01	-1.072729e-08	1.508057e-01	-1.454996e-01	-3.346324e-01	4.348041e-01	-4.453071e-01	0.000000e+00	6.814704e-01
10	9.987856e-01	1.000000e-01	2.835686e-01	1.377430e-01	4.871904e-01	-8.690884e-09	1.377430e-01	-1.409774e-01	-3.960925e-01	3.559203e-01	-4.784065e-01	0.000000e+00	4.356298e-01
11	-1.810286e+01	2.000000e-01	2.906172e-01	1.453573e-01	4.756711e-01	-7.007185e-09	1.453573e-01	-1.451565e-01	-3.898135e-01	3.723743e-01	-4.757179e-01	0.000000e+00	4.607460e-01
12	-1.810286e+01	1.000000e-01	2.896118e-01	1.453213e-01	4.791434e-01	-7.254460e-09	1.453213e-01						
13	-1.810296e+01	5.000000e-02	2.896118e-01	1.453213e-01	4.791434e-01	-7.208240e-09	1.453213e-01						
14	-1.810270e+01	2.500000e-02	2.896118e-01	1.453213e-01	4.791434e-01	-2.618065e-09	1.453213e-01						
15	-1.809703e+01	1.250000e-02	2.896118e-01	1.453213e-01	4.791434e-01	-7.216728e-09	1.453213e-01						
16	-8.883800e+00	6.250000e-03	2.896120e-01	1.453213e-01	4.791427e-01	-7.237439e-09	1.453213e-01						
17	-5.482603e+00	3.125000e-03	2.900491e-01	1.453493e-01	4.775114e-01	-7.215305e-09	1.453493e-01						
18	-3.583256e+00	1.562500e-03	2.903101e-01	1.453886e-01	4.766106e-01	-7.183555e-09	1.453886e-01						
19	-2.129790e+00	7.812500e-04	2.904459e-01	1.454145e-01	4.761598e-01	-7.173602e-09	1.454145e-01						
20	-9.572344e-01	3.906250e-04	2.905150e-01	1.454291e-01	4.759349e-01	-7.175291e-09	1.454291e-01						
21	-1.296800e-01	1.953125e-04	2.905494e-01	1.454366e-01	4.758236e-01	-2.606096e-09	1.454366e-01						
22	3.247770e-01	9.765625e-05	2.905661e-01	1.454404e-01	4.757702e-01	-7.200578e-09	1.454404e-01						
23	-1.857890e-01	9.765625e-05	2.905733e-01	1.454420e-01	4.757468e-01	-7.223184e-09	1.454420e-01	-1.451313e-01	-3.898764e-01	3.722496e-01	-4.757456e-01	0.000000e+00	4.604946e-01
24	1.610952e-02	4.882813e-05	2.905616e-01	1.454396e-01	4.757862e-01	-7.159729e-09	1.454396e-01						
25		4.882813e-05	2.905642e-01	1.454402e-01	4.757780e-01	-2.597220e-09	1.454402e-01	-1.451240e-01	-3.899468e-01	3.721635e-01	-4.757766e-01	0.000000e+00	4.602128e-01
