RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.096849e+00	1.311741e-02	1.228023e+00
3	8.753315e-01	5.512408e-03	9.304556e-01
4	6.820117e-01	5.268068e-03	7.346924e-01
5	5.173100e-01	5.609509e-03	5.734051e-01
6	3.817274e-01	6.051514e-03	4.422425e-01
7	2.758156e-01	6.570824e-03	3.415238e-01
8	2.001900e-01	7.182497e-03	2.720150e-01
9	1.555339e-01	7.909901e-03	2.346329e-01
10	1.425912e-01	8.783891e-03	2.304301e-01
11	1.454607e-01	-4.673507e-05	1.454607e-01
12	1.453906e-01	2.592390e-04	1.479830e-01
13	1.453906e-01	2.592390e-04	1.479830e-01
14	1.453906e-01	2.592434e-04	1.479831e-01
15	1.453906e-01	2.592369e-04	1.479830e-01
16	1.453906e-01	2.591607e-04	1.479822e-01
17	1.453683e-01	1.081553e-04	1.464499e-01
18	1.453933e-01	4.625077e-05	1.458558e-01
19	1.454157e-01	2.101558e-05	1.456259e-01
20	1.454294e-01	9.855956e-06	1.455279e-01
21	1.454367e-01	4.693085e-06	1.454836e-01
22	1.454404e-01	2.289929e-06	1.454633e-01
23	1.454420e-01	1.257946e-06	1.454546e-01
24	1.454396e-01	1.773769e-06	1.454574e-01
25	1.454402e-01	1.416002e-06	1.454544e-01
