RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.096746e+00	5.010592e-02
2	1.008516e+00	3.035645e-03
3	8.297925e-01	-8.672924e-02
4	6.529269e-01	-1.801027e-01
5	4.837618e-01	-2.867946e-01
6	3.228219e-01	-4.055311e-01
7	4.087095e-01	-3.528791e-01
8	3.313933e-01	-4.162997e-01
9	3.943414e-01	-3.692663e-01
10	3.416447e-01	-4.117016e-01
11	3.558736e-01	-4.012072e-01
12	3.761703e-01	-3.865618e-01
13	3.595694e-01	-3.998435e-01
14	3.595694e-01	-3.998435e-01
15	3.595695e-01	-3.998434e-01
16	3.664480e-01	-3.944188e-01
17	3.713415e-01	-3.905310e-01
18	3.665156e-01	-3.945031e-01
19	3.681810e-01	-3.932390e-01
20	3.667736e-01	-3.943611e-01
21	3.667737e-01	-3.943610e-01
22	3.667738e-01	-3.943609e-01
23	3.669604e-01	-3.942099e-01
24	3.675615e-01	-3.937231e-01
25	3.678600e-01	-3.934813e-01
