RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.260315e+00	5.976721e-03	1.320082e+00
3	1.020176e+00	-2.435923e-03	1.020176e+00
4	6.241102e-01	4.271055e-03	6.668208e-01
5	3.411567e-01	1.930464e-02	5.342031e-01
6	1.775363e-01	2.490015e-02	4.265378e-01
7	1.377551e-01	3.057142e-02	4.434693e-01
8	1.473421e-01	1.005600e-02	2.479021e-01
9	1.451680e-01	9.312779e-03	2.382958e-01
10	1.462458e-01	3.483641e-03	1.810822e-01
11	1.455637e-01	4.450249e-03	1.900662e-01
12	1.448342e-01	2.679261e-03	1.716268e-01
13	1.455211e-01	1.360533e-04	1.468816e-01
14	1.453935e-01	6.184201e-04	1.515777e-01
15	1.453935e-01	6.184190e-04	1.515777e-01
16	1.453935e-01	6.184040e-04	1.515775e-01
17	1.453163e-01	2.806041e-04	1.481224e-01
18	1.453886e-01	1.108852e-04	1.464975e-01
19	1.453748e-01	1.109872e-04	1.464847e-01
20	1.454110e-01	-2.209351e-05	1.454110e-01
21	1.454023e-01	2.495404e-05	1.456518e-01
22	1.454023e-01	2.495225e-05	1.456518e-01
23	1.454023e-01	2.495441e-05	1.456518e-01
24	1.454019e-01	2.135533e-05	1.456155e-01
25	1.454019e-01	1.016571e-05	1.455036e-01
26	1.454025e-01	4.957605e-06	1.454520e-01
27	1.454028e-01	2.825297e-06	1.454311e-01
28	1.454031e-01	1.686161e-06	1.454199e-01
29	1.454032e-01	1.197368e-06	1.454151e-01
30	1.454032e-01	1.086501e-06	1.454141e-01
