RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571699e-01	-3.216994e-02	1.571699e-01
4	1.455267e-01	6.365172e-05	1.461632e-01
5	1.454616e-01	-5.211742e-06	1.454616e-01
6	1.453901e-01	3.116856e-04	1.485070e-01
7	1.453901e-01	3.116856e-04	1.485070e-01
8	1.453901e-01	3.116859e-04	1.485070e-01
9	1.453901e-01	3.116867e-04	1.485070e-01
10	1.453901e-01	3.116868e-04	1.485070e-01
11	1.453901e-01	3.116868e-04	1.485070e-01
12	1.453901e-01	3.116863e-04	1.485070e-01
13	1.453901e-01	3.116852e-04	1.485070e-01
14	1.453901e-01	3.116655e-04	1.485068e-01
15	1.453591e-01	1.454885e-04	1.468139e-01
16	1.453888e-01	6.086699e-05	1.459974e-01
17	1.454191e-01	2.746084e-05	1.456937e-01
18	1.454381e-01	1.300421e-05	1.455682e-01
19	1.454485e-01	6.384763e-06	1.455124e-01
20	1.454538e-01	3.303084e-06	1.454868e-01
21	1.454562e-01	1.938424e-06	1.454756e-01
22	1.454572e-01	1.419853e-06	1.454714e-01
23	1.454574e-01	1.264972e-06	1.454701e-01
24	1.454575e-01	1.221826e-06	1.454697e-01
25	1.454575e-01	1.210814e-06	1.454697e-01
