RTO_iter	u1	u2
0	1.500000e+00	1.500000e+00
1	1.032154e+00	6.161900e-01
2	2.682648e-01	-2.915754e-02
3	1.093788e-01	-3.881689e-01
4	4.397256e-01	-3.331584e-01
5	3.028073e-01	-4.309038e-01
6	3.028073e-01	-4.309038e-01
7	3.028073e-01	-4.309038e-01
8	3.028073e-01	-4.309038e-01
9	3.389984e-01	-4.071789e-01
10	3.906997e-01	-3.719233e-01
11	3.446227e-01	-4.098640e-01
12	3.857707e-01	-3.777536e-01
13	3.503378e-01	-4.062555e-01
14	3.616586e-01	-3.976326e-01
15	3.718764e-01	-3.902147e-01
16	3.634883e-01	-3.969145e-01
17	3.634883e-01	-3.969145e-01
18	3.634884e-01	-3.969145e-01
19	3.657712e-01	-3.950899e-01
20	3.688180e-01	-3.926464e-01
21	3.703389e-01	-3.914230e-01
22	3.710975e-01	-3.908119e-01
23	3.714739e-01	-3.905084e-01
24	3.716569e-01	-3.903608e-01
25	3.717400e-01	-3.902938e-01
26	3.717721e-01	-3.902680e-01
27	3.716814e-01	-3.903420e-01
28	3.716912e-01	-3.903341e-01
29	3.716938e-01	-3.903320e-01
30	3.716945e-01	-3.903314e-01
