RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	6.916719e-01	1.000000e+00	4.500000e+00	4.500000e+00	-2.750000e+00	-2.750000e+00	4.500000e+00	2.250000e+00	1.500000e+00	1.500000e+00	7.500000e+00	0.000000e+00	8.020000e+00
2	6.047845e-01	1.000000e+00	1.445032e+00	1.667548e+00	-4.118441e-01	3.007676e-08	1.667548e+00	6.360030e-01	6.161900e-01	1.032154e+00	1.991760e+00	5.551115e-15	4.484760e+00
3	5.986947e-01	1.000000e+00	7.281619e-02	-4.279797e-01	7.308850e-01	-1.715838e-01	-4.279797e-01	-7.821945e-03	-2.915755e-02	2.682649e-01	-5.661477e-02	1.110223e-14	1.903370e+00
4	9.742619e-01	1.000000e+00	1.626388e-01	6.313947e-02	7.399461e-01	-1.314562e-08	6.313947e-02	-4.245746e-02	-3.881689e-01	1.093788e-01	-4.749876e-01	2.220446e-14	4.673245e-01
5	-2.032588e+00	2.000000e+00	3.043531e-01	1.396823e-01	4.492799e-01	-4.897685e-09	1.396823e-01	-1.464983e-01	-3.331584e-01	4.397256e-01	-4.443278e-01	0.000000e+00	6.873664e-01
6	-2.032587e+00	1.000000e+00	2.773703e-01	1.335064e-01	5.115146e-01	-9.636405e-09	1.335064e-01						
7	-2.032588e+00	5.000000e-01	2.773703e-01	1.335064e-01	5.115146e-01	-1.084814e-08	1.335064e-01						
8	-2.032587e+00	2.500000e-01	2.773703e-01	1.335064e-01	5.115146e-01	-9.497734e-09	1.335064e-01						
9	-8.273111e-01	1.250000e-01	2.773703e-01	1.335064e-01	5.115146e-01	-9.163314e-09	1.335064e-01						
10	3.757971e-01	6.250000e-02	2.807146e-01	1.352257e-01	4.952070e-01	-3.152656e-09	1.352257e-01						
11	3.995673e-02	6.250000e-02	2.909731e-01	1.437624e-01	4.709734e-01	-8.491086e-09	1.437624e-01	-1.453103e-01	-3.719233e-01	3.906997e-01	-4.671927e-01	0.000000e+00	5.323069e-01
12	5.851511e-01	6.250000e-02	2.867533e-01	1.437567e-01	4.873889e-01	-7.663494e-09	1.437567e-01	-1.412484e-01	-4.098642e-01	3.446225e-01	-4.837511e-01	0.000000e+00	3.805434e-01
13	-4.766880e-01	6.250000e-02	2.915168e-01	1.444692e-01	4.715315e-01	-6.693442e-09	1.444692e-01	-1.457263e-01	-3.777534e-01	3.857709e-01	-4.701115e-01	0.000000e+00	5.089866e-01
14	1.958434e-01	3.125000e-02	2.877801e-01	1.444435e-01	4.846188e-01	-7.525433e-09	1.444435e-01						
15	9.934713e-01	3.125000e-02	2.889086e-01	1.446220e-01	4.802297e-01	-7.447283e-09	1.446220e-01	-1.438073e-01	-3.976324e-01	3.616588e-01	-4.790417e-01	0.000000e+00	4.294705e-01
16	-1.929383e+01	6.250000e-02	2.905596e-01	1.453722e-01	4.758561e-01	-7.004782e-09	1.453722e-01	-1.451116e-01	-3.902149e-01	3.718762e-01	-4.758944e-01	0.000000e+00	4.591405e-01
17	-1.929376e+01	3.125000e-02	2.896649e-01	1.453349e-01	4.789705e-01	-7.278025e-09	1.453349e-01						
18	-1.929317e+01	1.562500e-02	2.896649e-01	1.453349e-01	4.789705e-01	-7.206169e-09	1.453349e-01						
19	-1.301452e+01	7.812500e-03	2.896649e-01	1.453349e-01	4.789704e-01	-7.238157e-09	1.453349e-01						
20	-7.435872e+00	3.906250e-03	2.898846e-01	1.453423e-01	4.781328e-01	-7.192961e-09	1.453423e-01						
21	-4.914194e+00	1.953125e-03	2.901979e-01	1.453754e-01	4.770109e-01	-7.189720e-09	1.453754e-01						
22	-3.172024e+00	9.765625e-04	2.903628e-01	1.454018e-01	4.764492e-01	-7.168371e-09	1.454018e-01						
23	-1.745206e+00	4.882812e-04	2.904473e-01	1.454175e-01	4.761686e-01	-7.167012e-09	1.454175e-01						
24	-6.619383e-01	2.441406e-04	2.904897e-01	1.454259e-01	4.760293e-01	-7.170924e-09	1.454259e-01						
25		1.220703e-04	2.905105e-01	1.454301e-01	4.759615e-01	-7.180896e-09	1.454301e-01						
