RTO_iter	cost	con	merit
1	6.750000e+00	4.750000e+00	5.425000e+01
2	2.081035e+00	1.579916e+00	1.788020e+01
3	6.499425e-02	6.742702e-01	6.807697e+00
4	1.201813e-01	2.649585e-01	2.769766e+00
5	1.578549e-01	4.952089e-03	2.073757e-01
6	1.468895e-01	2.106322e-02	3.575217e-01
7	1.468895e-01	2.106322e-02	3.575217e-01
8	1.468895e-01	2.106322e-02	3.575217e-01
9	1.468895e-01	2.106321e-02	3.575217e-01
10	1.426816e-01	1.243846e-02	2.670662e-01
11	1.456628e-01	3.780718e-03	1.834700e-01
12	1.455049e-01	3.637799e-03	1.818829e-01
13	1.457905e-01	1.419940e-03	1.599899e-01
14	1.454534e-01	2.194746e-03	1.674009e-01
15	1.451014e-01	1.187921e-03	1.569806e-01
16	1.454479e-01	-3.831452e-05	1.454479e-01
17	1.453911e-01	2.237661e-04	1.476288e-01
18	1.453911e-01	2.237653e-04	1.476288e-01
19	1.453911e-01	2.237681e-04	1.476288e-01
20	1.453721e-01	1.450381e-04	1.468225e-01
21	1.453828e-01	6.045259e-05	1.459874e-01
22	1.454037e-01	2.707927e-05	1.456745e-01
23	1.454180e-01	1.265041e-05	1.455445e-01
24	1.454260e-01	6.040272e-06	1.454864e-01
25	1.454302e-01	2.958809e-06	1.454597e-01
26	1.454321e-01	1.588005e-06	1.454480e-01
27	1.454328e-01	1.069009e-06	1.454435e-01
28	1.454311e-01	1.484045e-06	1.454459e-01
29	1.454313e-01	1.324301e-06	1.454445e-01
30	1.454314e-01	1.281246e-06	1.454442e-01
