RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	3.326187e-01	1.000000e+00	1.220000e+00	1.220000e+00	-1.100000e-01	-1.100000e-01	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	9.870335e-01	1.000000e+00	2.063503e-01	-3.119690e-01	6.168539e-01	-3.539246e-01	-3.119690e-01	-8.995251e-02	-3.920573e-01	2.294372e-01	-4.766967e-01	0.000000e+00	4.517709e-01
3	-2.882666e+00	2.000000e+00	2.957430e-01	1.434858e-01	4.630628e-01	1.120241e-04	1.446061e-01	-1.468800e-01	-3.616304e-01	4.061607e-01	-4.617077e-01	0.000000e+00	5.734784e-01
4	-2.881465e+00	1.000000e+00	2.844870e-01	1.417268e-01	4.934905e-01	1.083498e-04	1.428103e-01						
5	-2.886540e+00	5.000000e-01	2.844874e-01	1.417270e-01	4.934901e-01	1.077017e-04	1.428040e-01						
6	-2.908219e+00	2.500000e-01	2.844858e-01	1.417261e-01	4.934920e-01	1.104361e-04	1.428305e-01						
7	-2.887956e+00	1.250000e-01	2.844787e-01	1.417226e-01	4.935001e-01	1.220349e-04	1.429430e-01						
8	-1.046344e+00	6.250000e-02	2.844853e-01	1.417259e-01	4.934925e-01	1.111993e-04	1.428379e-01						
9	2.646993e-01	3.125000e-02	2.869164e-01	1.425003e-01	4.836496e-01	1.107264e-04	1.436076e-01						
10	-6.111817e-03	3.125000e-02	2.909851e-01	1.450165e-01	4.730003e-01	1.104417e-04	1.461210e-01	-1.454923e-01	-3.811293e-01	3.817401e-01	-4.717395e-01	0.000000e+00	4.954828e-01
11	6.391784e-01	1.562500e-02	2.886162e-01	1.447697e-01	4.816685e-01	1.111855e-04	1.458816e-01						
12	6.869301e-01	1.562500e-02	2.899965e-01	1.451070e-01	4.769240e-01	1.203849e-04	1.463109e-01	-1.447686e-01	-3.913499e-01	3.699212e-01	-4.763903e-01	0.000000e+00	4.546003e-01
13	1.356365e+00	1.562500e-02	2.897547e-01	1.453332e-01	4.785111e-01	1.079142e-04	1.464123e-01	-1.443991e-01	-3.957776e-01	3.648490e-01	-4.782754e-01	0.000000e+00	4.368895e-01
14	2.918197e+00	3.125000e-02	2.902667e-01	1.453681e-01	4.767469e-01	1.079155e-04	1.464472e-01	-1.448809e-01	-3.920320e-01	3.695640e-01	-4.766858e-01	0.000000e+00	4.518718e-01
15	1.448138e+00	6.250000e-02	2.898253e-01	1.453448e-01	4.782771e-01	1.111987e-04	1.464568e-01	-1.444670e-01	-3.953075e-01	3.654549e-01	-4.780790e-01	0.000000e+00	4.387700e-01
16	2.661132e+00	1.250000e-01	2.902141e-01	1.453708e-01	4.769353e-01	1.081868e-04	1.464527e-01	-1.448330e-01	-3.924544e-01	3.690443e-01	-4.768679e-01	0.000000e+00	4.501825e-01
