RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.163978e-01	1.401572e-01	1.517970e+00
3	1.488630e-01	1.355075e-03	1.624137e-01
4	1.457822e-01	7.314176e-03	2.189240e-01
5	1.457824e-01	7.313610e-03	2.189185e-01
6	1.457815e-01	7.315998e-03	2.189415e-01
7	1.457777e-01	7.326127e-03	2.190390e-01
8	1.457813e-01	7.316659e-03	2.189479e-01
9	1.443873e-01	3.770421e-03	1.820915e-01
10	1.454927e-01	1.260834e-03	1.581011e-01
11	1.452485e-01	1.292720e-03	1.581757e-01
12	1.452278e-01	5.337204e-04	1.505650e-01
13	1.453557e-01	2.356766e-04	1.477124e-01
14	1.453857e-01	6.106265e-05	1.459964e-01
15	1.453582e-01	1.981652e-04	1.473399e-01
16	1.453811e-01	6.740503e-05	1.460551e-01
17	1.453611e-01	1.705407e-04	1.470665e-01
18	1.453767e-01	7.749401e-05	1.461516e-01
19	1.453609e-01	1.589317e-04	1.469502e-01
20	1.453757e-01	8.009209e-05	1.461766e-01
21	1.453640e-01	1.414674e-04	1.467787e-01
22	1.453738e-01	8.629402e-05	1.462367e-01
23	1.453651e-01	1.328245e-04	1.466933e-01
24	1.453725e-01	9.096355e-05	1.462822e-01
25	1.453659e-01	1.265571e-04	1.466315e-01
26	1.453716e-01	9.476443e-05	1.463193e-01
27	1.453666e-01	1.219667e-04	1.465863e-01
28	1.453709e-01	9.780171e-05	1.463490e-01
29	1.453671e-01	1.185765e-04	1.465529e-01
30	1.453704e-01	1.001980e-04	1.463724e-01
