RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.445903e+00	1.000000e+00	4.500000e+00	4.500000e+00	-2.750000e+00	-2.750000e+00	4.500000e+00	-2.250000e+00	-1.500000e+00	1.500000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	1.500000e+00	2.000000e+00	1.257359e+00	1.128680e+00	-4.215729e-01	-1.735858e+00	1.128680e+00	-6.286797e-01	-7.928932e-01	7.928932e-01	-3.284271e-01	0.000000e+00	-1.151573e+00
3	9.339378e-01	4.000000e+00	3.143398e-01	3.143398e-01	4.463835e-01	-3.385808e-01	3.143398e-01	-1.571699e-01	-3.964466e-01	3.964466e-01	-4.785534e-01	0.000000e+00	4.342135e-01
4	9.282955e-01	4.000000e+00	2.895496e-01	1.454018e-01	4.797376e-01	1.083469e-04	1.464852e-01	-1.440603e-01	-3.989243e-01	3.611218e-01	-4.795674e-01	0.000000e+00	4.243026e-01
5	-3.015000e+01	4.000000e+00	2.905835e-01	1.453094e-01	4.755585e-01	1.083478e-04	1.463929e-01	-1.451594e-01	-3.892208e-01	3.729487e-01	-4.754559e-01	0.000000e+00	4.631169e-01
6	-3.015898e+01	2.000000e+00	2.894649e-01	1.452642e-01	4.794642e-01	1.083473e-04	1.463477e-01						
7	-3.570775e+01	1.000000e+00	2.894649e-01	1.452642e-01	4.794642e-01	1.083504e-04	1.463477e-01						
8	-2.838122e+01	5.000000e-01	2.894639e-01	1.452636e-01	4.794654e-01	1.099537e-04	1.463632e-01						
9	-2.749681e+01	2.500000e-01	2.894654e-01	1.452644e-01	4.794638e-01	1.077085e-04	1.463415e-01						
10	-5.336799e+01	1.250000e-01	2.894656e-01	1.452645e-01	4.794635e-01	1.073593e-04	1.463381e-01						
11	-5.310358e+01	6.250000e-02	2.894619e-01	1.452627e-01	4.794676e-01	1.128769e-04	1.463914e-01						
12	-4.010932e+01	3.125000e-02	2.894620e-01	1.452627e-01	4.794676e-01	1.128472e-04	1.463911e-01						
13	-1.147937e+02	1.562500e-02	2.894632e-01	1.452633e-01	4.794661e-01	1.109174e-04	1.463725e-01						
14	3.579787e+02	7.812500e-03	2.894599e-01	1.452616e-01	4.794698e-01	1.160984e-04	1.464226e-01						
15	1.078732e+00	1.562500e-02	2.898956e-01	1.452894e-01	4.778335e-01	1.164838e-04	1.464543e-01	-1.445764e-01	-3.941031e-01	3.668492e-01	-4.775717e-01	0.000000e+00	4.435875e-01
16	2.432969e+00	3.125000e-02	2.900783e-01	1.453696e-01	4.774100e-01	1.109252e-04	1.464789e-01	-1.447081e-01	-3.934885e-01	3.677569e-01	-4.773106e-01	0.000000e+00	4.460461e-01
17	1.804633e+00	6.250000e-02	2.900041e-01	1.453665e-01	4.776728e-01	1.081875e-04	1.464484e-01	-1.446372e-01	-3.940579e-01	3.670456e-01	-4.775525e-01	0.000000e+00	4.437684e-01
18	1.734182e+00	1.250000e-01	2.900710e-01	1.453704e-01	4.774406e-01	1.081870e-04	1.464523e-01	-1.447003e-01	-3.935618e-01	3.676686e-01	-4.773418e-01	0.000000e+00	4.457530e-01
19	2.096948e+00	2.500000e-01	2.900105e-01	1.453660e-01	4.776456e-01	1.115223e-04	1.464812e-01	-1.446443e-01	-3.939931e-01	3.671239e-01	-4.775251e-01	0.000000e+00	4.440276e-01
20	6.634699e+00	5.000000e-01	2.900599e-01	1.453682e-01	4.774707e-01	1.136976e-04	1.465052e-01	-1.446915e-01	-3.936146e-01	3.675968e-01	-4.773643e-01	0.000000e+00	4.455414e-01
21	1.928478e+00	1.000000e+00	2.900194e-01	1.453677e-01	4.776205e-01	1.077084e-04	1.464448e-01	-1.446516e-01	-3.939479e-01	3.671845e-01	-4.775059e-01	0.000000e+00	4.442082e-01
22	1.957858e+00	2.000000e+00	2.900581e-01	1.453698e-01	4.774855e-01	1.083506e-04	1.464533e-01	-1.446882e-01	-3.936581e-01	3.675478e-01	-4.773828e-01	0.000000e+00	4.453677e-01
23	1.858283e+00	4.000000e+00	2.900240e-01	1.453678e-01	4.776038e-01	1.083507e-04	1.464514e-01	-1.446561e-01	-3.939110e-01	3.672303e-01	-4.774903e-01	0.000000e+00	4.443559e-01
24	1.945071e+00	4.000000e+00	2.900538e-01	1.453696e-01	4.775005e-01	1.083476e-04	1.464531e-01	-1.446841e-01	-3.936902e-01	3.675075e-01	-4.773965e-01	0.000000e+00	4.452390e-01
25	1.869279e+00	4.000000e+00	2.900278e-01	1.453681e-01	4.775906e-01	1.083475e-04	1.464516e-01	-1.446597e-01	-3.938830e-01	3.672656e-01	-4.774784e-01	0.000000e+00	4.444681e-01
26	1.935051e+00	4.000000e+00	2.900505e-01	1.453694e-01	4.775119e-01	1.083476e-04	1.464529e-01	-1.446810e-01	-3.937148e-01	3.674768e-01	-4.774069e-01	0.000000e+00	4.451410e-01
