RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571699e-01	-3.216993e-02	1.571699e-01
4	1.454893e-01	1.701821e-04	1.471911e-01
5	1.454244e-01	1.019708e-04	1.464441e-01
6	1.453531e-01	4.179741e-04	1.495328e-01
7	1.453511e-01	4.237547e-04	1.495886e-01
8	1.453513e-01	4.229858e-04	1.495812e-01
9	1.453513e-01	4.229557e-04	1.495809e-01
10	1.453500e-01	4.267459e-04	1.496175e-01
11	1.453520e-01	4.210369e-04	1.495624e-01
12	1.453503e-01	4.260853e-04	1.496111e-01
13	1.453538e-01	4.158226e-04	1.495121e-01
14	1.453487e-01	4.303566e-04	1.496523e-01
15	1.453217e-01	2.545437e-04	1.478671e-01
16	1.453519e-01	1.676535e-04	1.470284e-01
17	1.453818e-01	1.350260e-04	1.467321e-01
18	1.454004e-01	1.218247e-04	1.466186e-01
19	1.454103e-01	1.164631e-04	1.465749e-01
20	1.454153e-01	1.139749e-04	1.465551e-01
21	1.454177e-01	1.127402e-04	1.465451e-01
22	1.454211e-01	1.050106e-04	1.464712e-01
23	1.454214e-01	1.048543e-04	1.464699e-01
24	1.454215e-01	1.048122e-04	1.464696e-01
25	1.454190e-01	1.120409e-04	1.465394e-01
26	1.454190e-01	1.120946e-04	1.465400e-01
27	1.454190e-01	1.120706e-04	1.465397e-01
28	1.454190e-01	1.120704e-04	1.465397e-01
29	1.454190e-01	1.120704e-04	1.465397e-01
30	1.454190e-01	1.120704e-04	1.465397e-01
