RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.928932e-01	-7.928932e-01
2	3.964466e-01	-3.964466e-01
3	3.611192e-01	-3.989196e-01
4	3.729433e-01	-3.892183e-01
5	3.624139e-01	-3.976374e-01
6	3.624163e-01	-3.976421e-01
7	3.624163e-01	-3.976421e-01
8	3.624159e-01	-3.976412e-01
9	3.624165e-01	-3.976424e-01
10	3.624160e-01	-3.976413e-01
11	3.624150e-01	-3.976395e-01
12	3.624150e-01	-3.976395e-01
13	3.624161e-01	-3.976402e-01
14	3.668473e-01	-3.941049e-01
15	3.698957e-01	-3.916637e-01
16	3.714158e-01	-3.904393e-01
17	3.683868e-01	-3.929075e-01
18	3.699043e-01	-3.916800e-01
19	3.683945e-01	-3.929226e-01
20	3.668863e-01	-3.941661e-01
21	3.676488e-01	-3.935596e-01
22	3.671320e-01	-3.939898e-01
23	3.675932e-01	-3.936227e-01
24	3.671879e-01	-3.939349e-01
25	3.675357e-01	-3.936640e-01
26	3.672373e-01	-3.939033e-01
27	3.674999e-01	-3.936964e-01
28	3.672724e-01	-3.938777e-01
29	3.674700e-01	-3.937176e-01
30	3.672948e-01	-3.938554e-01
