RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	-3.563661e-01	1.000000e+00	1.220000e+00	1.220000e+00	2.090000e+00	2.090000e+00	2.212000e+01	1.100000e-01	-1.000000e-01	-1.100000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	5.383721e-01	5.000000e-01	2.063489e-01	-3.119690e-01	1.075729e+00	1.692859e+00	1.661662e+01						
3	6.334376e-01	5.000000e-01	4.341458e-01	2.621850e-01	1.635435e+00	1.804227e+00	1.830445e+01	-7.480085e-02	1.153035e-01	-6.487302e-01	2.571967e-01	0.000000e+00	2.481214e+00
4	8.652638e-01	5.000000e-01	1.105992e-01	-1.761595e-02	1.097926e+00	1.767389e+00	1.765627e+01	-4.985896e-02	2.814584e-01	-1.771451e-01	7.213544e-01	-2.220446e-14	3.145834e+00
5	9.938172e-01	5.000000e-01	2.764979e-02	2.220916e-02	1.132884e+00	1.247452e+00	1.249673e+01	-1.246474e-02	8.857251e-02	-1.407292e-01	1.928352e-01	0.000000e+00	2.374290e+00
6	9.183276e-01	1.000000e+00	6.912370e-03	5.552289e-03	1.039335e+00	1.188938e+00	1.189493e+01	-3.116151e-03	7.036416e-02	-4.428606e-02	1.506305e-01	0.000000e+00	2.301457e+00
7	8.765363e-01	2.000000e+00	8.839254e-04	4.098962e-03	1.014153e+00	9.435224e-01	9.439323e+00	3.819225e-04	-2.577543e-02	-1.481731e-02	-5.022211e-02	0.000000e+00	1.916898e+00
8	8.886352e-01	2.000000e+00	4.767400e-02	4.758192e-02	8.621197e-01	4.894957e-01	4.942539e+00	-1.944652e-02	-1.939648e-01	1.002580e-01	-3.126849e-01	0.000000e+00	1.244141e+00
9	9.667446e-01	2.000000e+00	1.793169e-01	1.161704e-01	6.338661e-01	1.360375e-01	1.476545e+00	-8.522733e-02	-3.427773e-01	2.486376e-01	-4.505621e-01	0.000000e+00	6.488907e-01
