RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.973647e-01	-5.304062e-01
2	4.069005e-01	1.578028e-01
3	2.952410e-01	-4.447348e-01
4	4.247666e-01	-3.299907e-01
5	4.247669e-01	-3.299912e-01
6	4.247661e-01	-3.299900e-01
7	3.917329e-01	-3.652721e-01
8	3.392962e-01	-4.127479e-01
9	3.893928e-01	-3.741288e-01
10	3.466026e-01	-4.085805e-01
11	3.466028e-01	-4.085806e-01
12	3.655317e-01	-3.943084e-01
13	3.682830e-01	-3.930656e-01
14	3.665811e-01	-3.944192e-01
15	3.665823e-01	-3.944213e-01
16	3.665808e-01	-3.944185e-01
17	3.665836e-01	-3.944237e-01
18	3.665847e-01	-3.944247e-01
19	3.667602e-01	-3.942822e-01
20	3.675148e-01	-3.936748e-01
21	3.678883e-01	-3.933686e-01
22	3.680704e-01	-3.932206e-01
23	3.681526e-01	-3.931531e-01
24	3.681840e-01	-3.931269e-01
25	3.681934e-01	-3.931190e-01
26	3.681964e-01	-3.931165e-01
27	3.681971e-01	-3.931160e-01
28	3.681972e-01	-3.931158e-01
29	3.681973e-01	-3.931158e-01
30	3.681973e-01	-3.931158e-01
