RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	4.554213e-01	4.103099e-01	4.558520e+00
3	2.067246e-01	9.458873e-01	9.665597e+00
4	1.559358e-01	1.701685e-02	3.261044e-01
5	1.504304e-01	3.244459e-02	4.748763e-01
6	1.504304e-01	3.244459e-02	4.748763e-01
7	1.504299e-01	3.244615e-02	4.748915e-01
8	1.427470e-01	1.065449e-02	2.492919e-01
9	1.453279e-01	3.201218e-03	1.773401e-01
10	1.456642e-01	1.083992e-03	1.565041e-01
11	1.453920e-01	1.804476e-03	1.634368e-01
12	1.453939e-01	1.799358e-03	1.633874e-01
13	1.451782e-01	1.282061e-03	1.579988e-01
14	1.452517e-01	5.185602e-04	1.504373e-01
15	1.453523e-01	3.246374e-04	1.485987e-01
16	1.453962e-01	5.887016e-05	1.459849e-01
17	1.453561e-01	2.539036e-04	1.478952e-01
18	1.453536e-01	2.611573e-04	1.479652e-01
19	1.453541e-01	2.573369e-04	1.479274e-01
20	1.453442e-01	1.767335e-04	1.471115e-01
21	1.453537e-01	1.478524e-04	1.468322e-01
22	1.453676e-01	1.201709e-04	1.465693e-01
23	1.453750e-01	1.084210e-04	1.464592e-01
24	1.453763e-01	1.100532e-04	1.464769e-01
25	1.453775e-01	1.094921e-04	1.464724e-01
26	1.453778e-01	1.097061e-04	1.464748e-01
27	1.453778e-01	1.098491e-04	1.464763e-01
28	1.453778e-01	1.099043e-04	1.464769e-01
29	1.453779e-01	1.099200e-04	1.464771e-01
30	1.453779e-01	1.098895e-04	1.464768e-01
