RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.096849e+00	1.311742e-02	1.228023e+00
3	8.753315e-01	5.512509e-03	9.304566e-01
4	6.820117e-01	5.268115e-03	7.346928e-01
5	5.173100e-01	5.609484e-03	5.734048e-01
6	3.817274e-01	6.051536e-03	4.422427e-01
7	2.758156e-01	6.570844e-03	3.415240e-01
8	2.001900e-01	7.182494e-03	2.720149e-01
9	1.555339e-01	7.909904e-03	2.346330e-01
10	1.425912e-01	8.783895e-03	2.304301e-01
11	1.454607e-01	-4.673555e-05	1.454607e-01
12	1.453906e-01	2.592450e-04	1.479831e-01
13	1.453906e-01	2.592412e-04	1.479831e-01
14	1.453906e-01	2.592412e-04	1.479831e-01
15	1.453906e-01	2.592394e-04	1.479830e-01
16	1.453906e-01	2.591684e-04	1.479823e-01
17	1.453683e-01	1.081578e-04	1.464499e-01
18	1.453933e-01	4.625307e-05	1.458559e-01
19	1.454157e-01	2.102288e-05	1.456260e-01
20	1.454294e-01	9.858234e-06	1.455279e-01
21	1.454367e-01	4.694527e-06	1.454837e-01
22	1.454404e-01	2.292290e-06	1.454633e-01
23	1.454420e-01	1.260303e-06	1.454546e-01
24	1.454396e-01	1.776166e-06	1.454574e-01
25	1.454402e-01	1.417492e-06	1.454544e-01
