RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.982742e-01	1.000000e-01	1.220000e+00	1.220000e+00	-1.100000e-01	-1.100000e-01	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	8.337586e-01	1.000000e-01	1.072074e+00	1.091868e+00	-3.570509e-02	1.132416e-04	1.093001e+00	2.473130e-02	2.389187e-02	1.035134e+00	4.892539e-02	0.000000e+00	2.115567e+00
3	7.750989e-01	1.000000e-01	8.978721e-01	8.710951e-01	5.217047e-02	1.158725e-04	8.722538e-01	-2.258270e-02	-2.383999e-02	9.472612e-01	-4.654330e-02	6.661338e-16	1.924640e+00
4	7.278221e-01	1.000000e-01	7.424324e-01	6.778507e-01	1.362792e-01	1.160455e-04	6.790111e-01	-6.046084e-02	-7.040449e-02	8.587640e-01	-1.308954e-01	0.000000e+00	1.738382e+00
5	6.691338e-01	1.000000e-01	6.087278e-01	5.130486e-01	2.147910e-01	1.161249e-04	5.142099e-01	-9.145639e-02	-1.185984e-01	7.711434e-01	-2.090657e-01	0.000000e+00	1.545606e+00
6	5.893695e-01	1.000000e-01	4.972840e-01	3.773464e-01	2.868209e-01	1.161348e-04	3.785078e-01	-1.155941e-01	-1.688306e-01	6.846753e-01	-2.806536e-01	0.000000e+00	1.344678e+00
7	4.763278e-01	1.000000e-01	4.085060e-01	2.713086e-01	3.514114e-01	1.161274e-04	2.724699e-01	-1.327273e-01	-2.213648e-01	5.995862e-01	-3.447249e-01	0.000000e+00	1.134541e+00
8	3.088107e-01	1.000000e-01	3.428695e-01	1.955534e-01	4.073916e-01	1.161111e-04	1.967145e-01	-1.427164e-01	-2.764978e-01	5.161574e-01	-4.000935e-01	0.000000e+00	9.140088e-01
9	4.347826e-02	1.000000e-01	3.009622e-01	1.507701e-01	4.532943e-01	1.080478e-04	1.518506e-01	-1.454638e-01	-3.345855e-01	4.347582e-01	-4.452761e-01	0.000000e+00	6.816578e-01
10	1.004285e+00	1.000000e-01	2.834955e-01	1.377064e-01	4.872773e-01	1.080301e-04	1.387867e-01	-1.409409e-01	-3.960432e-01	3.558725e-01	-4.783860e-01	0.000000e+00	4.358270e-01
11	-2.000000e+00	2.000000e-01	2.905423e-01	1.453203e-01	4.757604e-01	1.080053e-04	1.464003e-01	-1.451188e-01	-3.897710e-01	3.723182e-01	-4.756991e-01	0.000000e+00	4.609162e-01
12	-2.000000e+00	1.000000e-01	2.895353e-01	1.452831e-01	4.792333e-01	1.115907e-04	1.463990e-01						
13	-2.000000e+00	5.000000e-02	2.895344e-01	1.452827e-01	4.792343e-01	1.128367e-04	1.464111e-01						
14	-2.000000e+00	2.500000e-02	2.895319e-01	1.452814e-01	4.792372e-01	1.167460e-04	1.464488e-01						
15	-2.000000e+00	1.250000e-02	2.895357e-01	1.452833e-01	4.792328e-01	1.108830e-04	1.463922e-01						
16	-2.000000e+00	6.250000e-03	2.895325e-01	1.452816e-01	4.792360e-01	1.160864e-04	1.464425e-01						
17	-2.000000e+00	3.125000e-03	2.899758e-01	1.453130e-01	4.775993e-01	1.055127e-04	1.463682e-01						
18	-2.000000e+00	1.562500e-03	2.902321e-01	1.453499e-01	4.767036e-01	1.125501e-04	1.464754e-01						
19	-2.000000e+00	7.812500e-04	2.903700e-01	1.453769e-01	4.762503e-01	1.094531e-04	1.464714e-01						
20	-2.000000e+00	3.906250e-04	2.904408e-01	1.453923e-01	4.760233e-01	1.067939e-04	1.464602e-01						
21	-2.000000e+00	1.953125e-04	2.904748e-01	1.453996e-01	4.759126e-01	1.076167e-04	1.464757e-01						
22	-2.000000e+00	9.765625e-05	2.904946e-01	1.454049e-01	4.758555e-01	1.027820e-04	1.464327e-01						
23	-2.000000e+00	4.882813e-05	2.904978e-01	1.454045e-01	4.758367e-01	1.088840e-04	1.464933e-01						
24	-2.000000e+00	2.441406e-05	2.905003e-01	1.454050e-01	4.758285e-01	1.091707e-04	1.464967e-01						
25	-2.000000e+00	1.220703e-05	2.905010e-01	1.454051e-01	4.758260e-01	1.092648e-04	1.464978e-01						
26	-2.000000e+00	6.103516e-06	2.905012e-01	1.454052e-01	4.758254e-01	1.092870e-04	1.464981e-01						
27	-2.000000e+00	3.051758e-06	2.905012e-01	1.454052e-01	4.758252e-01	1.092926e-04	1.464981e-01						
28	-2.000000e+00	1.525879e-06	2.905013e-01	1.454052e-01	4.758252e-01	1.092810e-04	1.464980e-01						
29	-2.000000e+00	7.629395e-07	2.905013e-01	1.454052e-01	4.758252e-01	1.092943e-04	1.464981e-01						
30		3.814697e-07	2.905013e-01	1.454052e-01	4.758252e-01	1.092944e-04	1.464981e-01						
