RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.096805e+00	1.322030e-02	1.229008e+00
3	8.752894e-01	5.627172e-03	9.315611e-01
4	6.819715e-01	5.383840e-03	7.358099e-01
5	5.172714e-01	5.725311e-03	5.745245e-01
6	3.816899e-01	6.167317e-03	4.433631e-01
7	2.757787e-01	6.686514e-03	3.426438e-01
8	2.001531e-01	7.298056e-03	2.731336e-01
9	1.554984e-01	8.018175e-03	2.356801e-01
10	1.425546e-01	8.891279e-03	2.314674e-01
11	1.454234e-01	6.124275e-05	1.460359e-01
12	1.453523e-01	3.703886e-04	1.490562e-01
13	1.453519e-01	3.715998e-04	1.490679e-01
14	1.453505e-01	3.753998e-04	1.491045e-01
15	1.453525e-01	3.696984e-04	1.490495e-01
16	1.453507e-01	3.746821e-04	1.490976e-01
17	1.453321e-01	2.137123e-04	1.474692e-01
18	1.453546e-01	1.587433e-04	1.469421e-01
19	1.453780e-01	1.304574e-04	1.466826e-01
20	1.453926e-01	1.166695e-04	1.465593e-01
21	1.453996e-01	1.123150e-04	1.465228e-01
22	1.454049e-01	1.051362e-04	1.464563e-01
23	1.454045e-01	1.101385e-04	1.465059e-01
24	1.454050e-01	1.100495e-04	1.465055e-01
25	1.454051e-01	1.100334e-04	1.465055e-01
26	1.454052e-01	1.100262e-04	1.465054e-01
27	1.454052e-01	1.100244e-04	1.465054e-01
28	1.454052e-01	1.100111e-04	1.465053e-01
29	1.454052e-01	1.100238e-04	1.465054e-01
30	1.454052e-01	1.100237e-04	1.465054e-01
