RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.035135e+00	2.389117e-02
2	9.472621e-01	-2.384082e-02
3	8.587649e-01	-7.040537e-02
4	7.711444e-01	-1.185993e-01
5	6.846768e-01	-1.688324e-01
6	5.995877e-01	-2.213668e-01
7	5.161590e-01	-2.764999e-01
8	4.347574e-01	-3.345842e-01
9	3.558713e-01	-3.960415e-01
10	3.723162e-01	-3.897698e-01
11	3.630006e-01	-3.971957e-01
12	3.630008e-01	-3.971961e-01
13	3.630008e-01	-3.971962e-01
14	3.630021e-01	-3.971984e-01
15	3.630033e-01	-3.971957e-01
16	3.674259e-01	-3.936627e-01
17	3.698583e-01	-3.917020e-01
18	3.710783e-01	-3.907283e-01
19	3.716866e-01	-3.902428e-01
20	3.719864e-01	-3.900017e-01
21	3.721299e-01	-3.898855e-01
22	3.721924e-01	-3.898344e-01
23	3.722149e-01	-3.898157e-01
24	3.722216e-01	-3.898101e-01
25	3.722233e-01	-3.898087e-01
26	3.722238e-01	-3.898083e-01
27	3.722239e-01	-3.898082e-01
28	3.722239e-01	-3.898082e-01
29	3.722239e-01	-3.898082e-01
30	3.722239e-01	-3.898082e-01
