RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	2.042868e+00	-1.245000e+00	2.042868e+00
3	1.658604e+00	-1.205000e+00	1.658604e+00
4	1.010076e+00	-1.005000e+00	1.010076e+00
5	5.215475e-01	-6.449999e-01	5.215475e-01
6	1.930194e-01	-1.249999e-01	1.930194e-01
7	1.438063e-01	5.714979e-03	2.009561e-01
8	1.438067e-01	5.713881e-03	2.009455e-01
9	1.438066e-01	5.714167e-03	2.009482e-01
10	1.632034e-01	-4.874971e-02	1.632034e-01
11	1.454233e-01	7.254991e-05	1.461488e-01
12	1.453895e-01	6.176009e-05	1.460071e-01
13	1.453864e-01	7.077369e-05	1.460942e-01
14	1.453901e-01	5.993310e-05	1.459895e-01
15	1.453887e-01	6.401652e-05	1.460289e-01
16	1.453899e-01	6.067696e-05	1.459967e-01
17	1.453826e-01	6.462124e-05	1.460288e-01
18	1.453829e-01	8.059120e-05	1.461888e-01
19	1.453684e-01	1.030346e-04	1.463988e-01
20	1.453618e-01	1.384888e-04	1.467467e-01
21	1.453700e-01	9.956960e-05	1.463657e-01
22	1.453638e-01	1.298243e-04	1.466621e-01
23	1.453693e-01	1.027766e-04	1.463970e-01
24	1.453672e-01	1.182723e-04	1.465499e-01
25	1.453677e-01	1.081006e-04	1.464487e-01
26	1.453664e-01	1.192698e-04	1.465591e-01
27	1.453682e-01	1.074245e-04	1.464424e-01
28	1.453660e-01	1.194750e-04	1.465607e-01
29	1.453679e-01	1.088834e-04	1.464567e-01
30	1.453662e-01	1.180672e-04	1.465469e-01
