RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	2.042868e+00	-1.245000e+00	2.042868e+00
3	1.658604e+00	-1.205000e+00	1.658604e+00
4	1.010076e+00	-1.005000e+00	1.010076e+00
5	5.215475e-01	-6.449999e-01	5.215475e-01
6	1.930194e-01	-1.249999e-01	1.930194e-01
7	1.438066e-01	5.714226e-03	2.009488e-01
8	1.438066e-01	5.713933e-03	2.009460e-01
9	1.438065e-01	5.714495e-03	2.009514e-01
10	1.632034e-01	-4.874971e-02	1.632034e-01
11	1.454233e-01	7.255078e-05	1.461488e-01
12	1.453895e-01	6.168302e-05	1.460064e-01
13	1.453901e-01	5.994249e-05	1.459896e-01
14	1.453894e-01	6.207210e-05	1.460101e-01
15	1.453899e-01	6.068804e-05	1.459968e-01
16	1.453863e-01	7.126101e-05	1.460989e-01
17	1.453799e-01	7.239318e-05	1.461039e-01
18	1.453839e-01	7.746979e-05	1.461586e-01
19	1.453946e-01	8.936485e-05	1.462883e-01
20	1.454022e-01	9.742624e-05	1.463765e-01
21	1.454062e-01	1.028206e-04	1.464344e-01
22	1.454081e-01	1.059525e-04	1.464676e-01
23	1.454089e-01	1.073710e-04	1.464826e-01
24	1.454092e-01	1.078940e-04	1.464882e-01
25	1.454093e-01	1.080383e-04	1.464897e-01
26	1.454093e-01	1.080627e-04	1.464900e-01
27	1.454093e-01	1.081109e-04	1.464904e-01
28	1.454093e-01	1.080746e-04	1.464901e-01
29	1.454094e-01	1.080542e-04	1.464899e-01
30	1.454093e-01	1.080754e-04	1.464901e-01
