RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.429289e+00	-1.429289e+00
2	1.287868e+00	-1.287868e+00
3	1.005025e+00	-1.005025e+00
4	7.221825e-01	-7.221825e-01
5	4.393398e-01	-4.393398e-01
6	3.772783e-01	-3.812365e-01
7	3.772783e-01	-3.812365e-01
8	3.772783e-01	-3.812365e-01
9	4.039844e-01	-4.039844e-01
10	3.644062e-01	-3.963695e-01
11	3.701604e-01	-3.916329e-01
12	3.650240e-01	-3.957322e-01
13	3.650240e-01	-3.957322e-01
14	3.650240e-01	-3.957322e-01
15	3.650240e-01	-3.957322e-01
16	3.650241e-01	-3.957321e-01
17	3.652754e-01	-3.955302e-01
18	3.677084e-01	-3.935722e-01
19	3.689232e-01	-3.925922e-01
20	3.695288e-01	-3.921031e-01
21	3.698282e-01	-3.918611e-01
22	3.699719e-01	-3.917450e-01
23	3.700349e-01	-3.916941e-01
24	3.699267e-01	-3.917826e-01
25	3.699490e-01	-3.917645e-01
26	3.699544e-01	-3.917602e-01
27	3.699560e-01	-3.917589e-01
28	3.699564e-01	-3.917585e-01
29	3.699565e-01	-3.917584e-01
30	3.699565e-01	-3.917584e-01
