RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.429289e+00	-1.429289e+00
2	1.287868e+00	-1.287868e+00
3	1.005025e+00	-1.005025e+00
4	7.221825e-01	-7.221825e-01
5	4.393398e-01	-4.393398e-01
6	3.772345e-01	-3.811709e-01
7	3.772315e-01	-3.811664e-01
8	3.772349e-01	-3.811715e-01
9	4.039844e-01	-4.039844e-01
10	3.643715e-01	-3.963080e-01
11	3.700900e-01	-3.915973e-01
12	3.700919e-01	-3.916009e-01
13	3.700900e-01	-3.915974e-01
14	3.700905e-01	-3.915984e-01
15	3.700875e-01	-3.915932e-01
16	3.691937e-01	-3.923327e-01
17	3.667775e-01	-3.943119e-01
18	3.679284e-01	-3.933441e-01
19	3.668868e-01	-3.941739e-01
20	3.677979e-01	-3.934545e-01
21	3.670079e-01	-3.940854e-01
22	3.676996e-01	-3.935370e-01
23	3.670977e-01	-3.940165e-01
24	3.676222e-01	-3.935961e-01
25	3.671618e-01	-3.939612e-01
26	3.675642e-01	-3.936455e-01
27	3.672165e-01	-3.939225e-01
28	3.675201e-01	-3.936807e-01
29	3.672551e-01	-3.938918e-01
30	3.674864e-01	-3.937075e-01
