RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.024736e+00	1.000000e-01	4.500000e+00	4.500000e+00	-2.750000e+00	-2.750000e+00	4.500000e+00	-2.250000e+00	-1.500000e+00	1.500000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	1.054905e+00	2.000000e-01	4.085736e+00	2.047868e+00	-2.472157e+00	-1.253586e+00	2.047868e+00	-2.042868e+00	-1.429289e+00	1.429289e+00	1.227157e+00	-2.220446e-14	-3.697157e+00
3	1.140714e+00	4.000000e-01	3.317208e+00	1.678604e+00	-1.946472e+00	-1.242172e+00	1.678604e+00	-1.658604e+00	-1.287868e+00	1.287868e+00	7.414717e-01	0.000000e+00	-3.131472e+00
4	1.195825e+00	4.000000e-01	2.020151e+00	1.090076e+00	-1.015101e+00	-1.159343e+00	1.090076e+00	-1.010076e+00	-1.005025e+00	1.005025e+00	1.010089e-02	0.000000e+00	-2.000101e+00
5	1.321895e+00	4.000000e-01	1.043095e+00	6.015475e-01	-2.437300e-01	-7.993431e-01	6.015475e-01	-5.215475e-01	-7.221825e-01	7.221825e-01	-4.012699e-01	0.000000e+00	-8.687299e-01
6	-1.783951e-01	4.000000e-01	3.860389e-01	2.730194e-01	3.676408e-01	-2.793430e-01	2.730194e-01	-1.930194e-01	-4.393398e-01	4.393398e-01	-4.926407e-01	0.000000e+00	2.626410e-01
7	-1.786642e-01	2.000000e-01	2.875971e-01	1.474189e-01	4.774743e-01	1.111217e-04	1.485301e-01						
8	-1.781216e-01	1.000000e-01	2.875964e-01	1.474186e-01	4.774751e-01	1.120710e-04	1.485393e-01						
9	1.043758e+00	5.000000e-02	2.875978e-01	1.474192e-01	4.774734e-01	1.101560e-04	1.485208e-01						
10	1.040358e+00	1.000000e-01	3.264067e-01	1.644534e-01	4.328123e-01	-5.054261e-02	1.644534e-01	-1.632034e-01	-4.039844e-01	4.039844e-01	-4.815620e-01	0.000000e+00	4.040626e-01
11	-4.353909e-01	2.000000e-01	2.898251e-01	1.457266e-01	4.785702e-01	1.104455e-04	1.468311e-01	-1.444026e-01	-3.963067e-01	3.643708e-01	-4.784954e-01	0.000000e+00	4.347730e-01
12	-7.617260e-01	1.000000e-01	2.903150e-01	1.453619e-01	4.765618e-01	1.136870e-04	1.464987e-01						
13	-5.906723e-01	5.000000e-02	2.903192e-01	1.453640e-01	4.765571e-01	1.073855e-04	1.464379e-01						
14	-5.140723e-01	2.500000e-02	2.903172e-01	1.453630e-01	4.765593e-01	1.103660e-04	1.464667e-01						
15	-4.286016e-01	1.250000e-02	2.903162e-01	1.453625e-01	4.765605e-01	1.119191e-04	1.464817e-01						
16	-5.386593e-01	6.250000e-03	2.903148e-01	1.453618e-01	4.765620e-01	1.138487e-04	1.465003e-01						
17	5.367203e-02	3.125000e-03	2.902312e-01	1.453641e-01	4.768787e-01	1.105005e-04	1.464691e-01						
18	2.802080e-01	3.125000e-03	2.900077e-01	1.453781e-01	4.777405e-01	1.124697e-04	1.465028e-01	-1.446248e-01	-3.943117e-01	3.667777e-01	-4.776600e-01	0.000000e+00	4.427530e-01
