RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.405873e-01	1.000000e-01	1.220000e+00	1.220000e+00	2.090000e+00	2.090000e+00	2.212000e+01	1.100000e-01	-1.000000e-01	-1.100000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	8.623362e-01	2.000000e-01	1.020230e+00	1.077255e+00	2.004648e+00	1.889156e+00	1.996881e+01	6.067827e-02	-6.018058e-02	-1.008270e+00	-1.131178e-01	2.220446e-14	1.779278e+00
3	8.719374e-01	2.000000e-01	6.790734e-01	6.505569e-01	1.823579e+00	1.848280e+00	1.913336e+01	-1.423399e-02	1.727681e-02	-8.238780e-01	3.515060e-02	0.000000e+00	2.089107e+00
4	8.773049e-01	2.000000e-01	4.134738e-01	3.439327e-01	1.629122e+00	1.812705e+00	1.847098e+01	-5.625785e-02	8.832743e-02	-6.369239e-01	1.922583e-01	0.000000e+00	2.373310e+00
5	9.777827e-01	2.000000e-01	2.245243e-01	1.430247e-01	1.424303e+00	1.772776e+00	1.787079e+01	-6.906868e-02	1.541487e-01	-4.480653e-01	3.558210e-01	-4.440892e-14	2.636595e+00
6	9.723767e-01	4.000000e-01	9.980986e-02	4.444939e-02	1.214975e+00	1.668411e+00	1.672856e+01	-4.808385e-02	1.911716e-01	-2.515219e-01	4.554365e-01	0.000000e+00	2.784687e+00
7	9.378482e-01	4.000000e-01	2.495245e-02	2.313139e-02	1.079770e+00	1.353058e+00	1.355371e+01	-1.202096e-02	1.257609e-01	-9.558581e-02	2.831534e-01	0.000000e+00	2.523044e+00
8	9.834415e-01	4.000000e-01	6.238093e-03	5.782845e-03	1.060596e+00	1.147033e+00	1.147611e+01	-3.005228e-03	4.779277e-02	-6.288040e-02	1.001538e-01	0.000000e+00	2.211171e+00
9	9.662536e-01	4.000000e-01	9.543878e-04	1.524289e-03	1.019631e+00	1.065832e+00	1.065985e+01	-4.720273e-04	2.339282e-02	-2.017830e-02	4.788010e-02	0.000000e+00	2.113571e+00
