RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.440000e+00
2	1.686039e-01	-2.010252e-08	1.686039e-01
3	1.497102e-01	-1.023625e-08	1.497102e-01
4	1.462031e-01	-1.536256e-08	1.462031e-01
5	1.455517e-01	-1.276843e-08	1.455517e-01
6	1.454308e-01	-1.380320e-08	1.454308e-01
7	1.454083e-01	-1.334275e-08	1.454083e-01
8	1.454042e-01	-1.353835e-08	1.454042e-01
9	1.454034e-01	-1.345357e-08	1.454034e-01
10	1.454032e-01	-1.349000e-08	1.454032e-01
11	1.454032e-01	-1.347429e-08	1.454032e-01
12	1.454032e-01	-1.348105e-08	1.454032e-01
13	1.454032e-01	-1.347814e-08	1.454032e-01
14	1.454032e-01	-1.347939e-08	1.454032e-01
15	1.454032e-01	-1.347885e-08	1.454032e-01
16	1.454032e-01	-1.347909e-08	1.454032e-01
17	1.454032e-01	-1.347898e-08	1.454032e-01
18	1.454032e-01	-1.347903e-08	1.454032e-01
19	1.454032e-01	-1.347901e-08	1.454032e-01
20	1.454032e-01	-1.347902e-08	1.454032e-01
21	1.454032e-01	-1.347901e-08	1.454032e-01
22	1.454032e-01	-1.347902e-08	1.454032e-01
23	1.454032e-01	-1.347901e-08	1.454032e-01
24	1.454032e-01	-1.347902e-08	1.454032e-01
25	1.454032e-01	-1.347901e-08	1.454032e-01
