RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.440000e+00
2	1.686039e-01	-1.785853e-08	1.686039e-01
3	1.497102e-01	-5.799074e-09	1.497102e-01
4	1.462031e-01	-5.896694e-09	1.462031e-01
5	1.455517e-01	-5.838140e-09	1.455517e-01
6	1.454308e-01	-5.860750e-09	1.454308e-01
7	1.454083e-01	-6.422817e-09	1.454083e-01
8	1.454042e-01	-6.480500e-09	1.454042e-01
9	1.454034e-01	-6.456502e-09	1.454034e-01
10	1.454032e-01	-6.467008e-09	1.454032e-01
11	1.454032e-01	-6.462512e-09	1.454032e-01
12	1.454032e-01	-6.464455e-09	1.454032e-01
13	1.454032e-01	-6.463619e-09	1.454032e-01
14	1.454032e-01	-6.463979e-09	1.454032e-01
15	1.454032e-01	-6.463824e-09	1.454032e-01
16	1.454032e-01	-6.463891e-09	1.454032e-01
17	1.454032e-01	-6.463862e-09	1.454032e-01
18	1.454032e-01	-6.463874e-09	1.454032e-01
19	1.454032e-01	-6.463869e-09	1.454032e-01
20	1.454032e-01	-6.463871e-09	1.454032e-01
21	1.454032e-01	-6.463870e-09	1.454032e-01
22	1.454032e-01	-6.463871e-09	1.454032e-01
23	1.454032e-01	-6.463871e-09	1.454032e-01
24	1.454032e-01	-6.463871e-09	1.454032e-01
25	1.454032e-01	-6.463871e-09	1.454032e-01
