RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.044352e-01	-1.940787e-01
2	4.143545e-01	-3.562963e-01
3	3.490841e-01	-4.091666e-01
4	3.768820e-01	-3.860929e-01
5	3.648424e-01	-3.959781e-01
6	3.700182e-01	-3.917088e-01
7	3.677861e-01	-3.935463e-01
8	3.687474e-01	-3.927543e-01
9	3.683331e-01	-3.930955e-01
10	3.685116e-01	-3.929484e-01
11	3.684347e-01	-3.930118e-01
12	3.684678e-01	-3.929845e-01
13	3.684536e-01	-3.929962e-01
14	3.684597e-01	-3.929912e-01
15	3.684571e-01	-3.929934e-01
16	3.684582e-01	-3.929924e-01
17	3.684577e-01	-3.929928e-01
18	3.684579e-01	-3.929927e-01
19	3.684578e-01	-3.929927e-01
20	3.684579e-01	-3.929927e-01
21	3.684579e-01	-3.929927e-01
22	3.684579e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
