RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.096343e+00	1.000000e+00	1.220000e+00	1.220000e+00	2.110000e+00	2.110000e+00	1.431000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	-3.849521e-02	2.000000e+00	6.031129e-02	2.040196e-01	1.156124e+00	7.143517e-01	2.754548e-01	2.370854e-02	-2.208863e-01	-1.073336e-01	-4.417727e-01	1.110223e-14	2.000000e+00
3	-3.849521e-02	1.000000e+00	3.007660e-01	2.215388e-01	7.012121e-01	1.232747e-09	2.215388e-01						
4	-1.325895e-01	5.000000e-01	3.007660e-01	2.215388e-01	7.012121e-01	1.206120e-09	2.215388e-01						
5	1.177226e+01	2.500000e-01	2.895607e-01	2.295025e-01	8.012675e-01	7.406294e-09	2.295025e-01						
6	8.617618e-01	5.000000e-01	1.317205e-01	1.210908e-01	1.010834e+00	3.184798e-01	1.529388e-01	-3.773490e-02	-3.461770e-01	1.090046e-01	-6.923540e-01	0.000000e+00	2.000000e+00
7	5.692338e-01	5.000000e-01	2.976663e-01	1.540688e-01	7.182259e-01	-1.319587e-09	1.540688e-01	-1.475007e-01	-3.591130e-01	4.107362e-01	-7.182259e-01	0.000000e+00	2.000000e+00
8	5.691223e-01	5.000000e-01	2.892905e-01	1.433531e-01	8.157978e-01	-4.077769e-09	1.433531e-01	-1.430027e-01	-4.078989e-01	3.505837e-01	-8.157978e-01	0.000000e+00	2.000000e+00
9	5.691698e-01	5.000000e-01	2.910265e-01	1.450220e-01	7.732575e-01	-4.013657e-09	1.450220e-01	-1.454591e-01	-3.866287e-01	3.762243e-01	-7.732575e-01	0.000000e+00	2.000000e+00
10	5.691491e-01	5.000000e-01	2.899297e-01	1.453325e-01	7.914907e-01	-4.058268e-09	1.453325e-01	-1.444960e-01	-3.957453e-01	3.651237e-01	-7.914907e-01	0.000000e+00	2.000000e+00
11	5.691579e-01	5.000000e-01	2.903376e-01	1.453901e-01	7.836175e-01	-4.056066e-09	1.453901e-01	-1.449287e-01	-3.918088e-01	3.698966e-01	-7.836175e-01	0.000000e+00	2.000000e+00
12	1.000000e+00	5.000000e-01	2.901498e-01	1.454008e-01	7.870064e-01	-4.059367e-09	1.454008e-01	-1.447456e-01	-3.935032e-01	3.678384e-01	-7.870064e-01	0.000000e+00	2.000000e+00
13	1.000000e+00	5.000000e-01	2.902285e-01	1.454028e-01	7.855457e-01	-4.058407e-09	1.454028e-01	-1.448251e-01	-3.927728e-01	3.687248e-01	-7.855457e-01	0.000000e+00	2.000000e+00
14	1.000000e+00	5.000000e-01	2.901942e-01	1.454031e-01	7.861749e-01	-4.058905e-09	1.454031e-01	-1.447910e-01	-3.930874e-01	3.683429e-01	-7.861749e-01	0.000000e+00	2.000000e+00
15	1.000000e+00	5.000000e-01	2.902089e-01	1.454032e-01	7.859038e-01	-4.058706e-09	1.454032e-01	-1.448057e-01	-3.929519e-01	3.685074e-01	-7.859038e-01	0.000000e+00	2.000000e+00
16	1.000000e+00	5.000000e-01	2.902026e-01	1.454032e-01	7.860206e-01	-4.058795e-09	1.454032e-01	-1.447993e-01	-3.930103e-01	3.684365e-01	-7.860206e-01	0.000000e+00	2.000000e+00
17	1.000000e+00	5.000000e-01	2.902053e-01	1.454032e-01	7.859703e-01	-4.058757e-09	1.454032e-01	-1.448021e-01	-3.929851e-01	3.684671e-01	-7.859703e-01	0.000000e+00	2.000000e+00
18	1.000000e+00	5.000000e-01	2.902041e-01	1.454032e-01	7.859919e-01	-4.058773e-09	1.454032e-01	-1.448009e-01	-3.929960e-01	3.684539e-01	-7.859919e-01	0.000000e+00	2.000000e+00
19	1.000000e+00	5.000000e-01	2.902046e-01	1.454032e-01	7.859826e-01	-4.058766e-09	1.454032e-01	-1.448014e-01	-3.929913e-01	3.684596e-01	-7.859826e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	5.000000e-01	2.902044e-01	1.454032e-01	7.859866e-01	-4.058769e-09	1.454032e-01	-1.448012e-01	-3.929933e-01	3.684571e-01	-7.859866e-01	0.000000e+00	2.000000e+00
21	1.000000e+00	5.000000e-01	2.902045e-01	1.454032e-01	7.859849e-01	-4.058768e-09	1.454032e-01	-1.448013e-01	-3.929924e-01	3.684582e-01	-7.859849e-01	0.000000e+00	2.000000e+00
22	1.000000e+00	5.000000e-01	2.902044e-01	1.454032e-01	7.859856e-01	-4.058769e-09	1.454032e-01	-1.448012e-01	-3.929928e-01	3.684577e-01	-7.859856e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	5.000000e-01	2.902045e-01	1.454032e-01	7.859853e-01	-4.058768e-09	1.454032e-01	-1.448013e-01	-3.929927e-01	3.684579e-01	-7.859853e-01	0.000000e+00	2.000000e+00
24	1.000000e+00	5.000000e-01	2.902045e-01	1.454032e-01	7.859854e-01	-4.058769e-09	1.454032e-01	-1.448012e-01	-3.929927e-01	3.684578e-01	-7.859855e-01	0.000000e+00	2.000000e+00
25		5.000000e-01	2.902045e-01	1.454032e-01	7.859854e-01	-4.058768e-09	1.454032e-01	-1.448013e-01	-3.929927e-01	3.684579e-01	-7.859854e-01	0.000000e+00	2.000000e+00
