RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.793198e-01	-4.713878e-01
2	4.085820e-01	-3.607109e-01
3	3.514039e-01	-4.071151e-01
4	3.757896e-01	-3.868947e-01
5	3.652346e-01	-3.955637e-01
6	3.697734e-01	-3.918207e-01
7	3.678162e-01	-3.934319e-01
8	3.686592e-01	-3.927375e-01
9	3.682959e-01	-3.930366e-01
10	3.684524e-01	-3.929077e-01
11	3.683850e-01	-3.929633e-01
12	3.683826e-01	-3.929611e-01
13	3.683826e-01	-3.929611e-01
14	3.683836e-01	-3.929620e-01
15	3.683852e-01	-3.929634e-01
16	3.684127e-01	-3.929381e-01
17	3.684143e-01	-3.929395e-01
18	3.684143e-01	-3.929395e-01
19	3.684130e-01	-3.929383e-01
20	3.684120e-01	-3.929375e-01
21	3.684084e-01	-3.929342e-01
22	3.684147e-01	-3.929399e-01
23	3.683959e-01	-3.929445e-01
24	3.684018e-01	-3.929498e-01
25	3.684045e-01	-3.929523e-01
26	3.684072e-01	-3.929454e-01
27	3.684078e-01	-3.929459e-01
28	3.684076e-01	-3.929458e-01
29	3.684069e-01	-3.929454e-01
30	3.684060e-01	-3.929449e-01
