RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.385000e+00
2	1.685580e-01	1.110881e-04	1.686136e-01
3	1.496716e-01	1.085895e-04	1.497259e-01
4	1.461656e-01	1.085878e-04	1.462199e-01
5	1.455143e-01	1.085884e-04	1.455686e-01
6	1.453934e-01	1.085881e-04	1.454477e-01
7	1.453710e-01	1.085882e-04	1.454253e-01
8	1.453668e-01	1.085882e-04	1.454211e-01
9	1.453660e-01	1.085882e-04	1.454203e-01
10	1.453659e-01	1.085882e-04	1.454202e-01
11	1.453659e-01	1.085882e-04	1.454202e-01
12	1.453659e-01	1.085882e-04	1.454202e-01
13	1.453641e-01	1.136915e-04	1.454210e-01
14	1.453641e-01	1.136989e-04	1.454210e-01
15	1.453649e-01	1.115171e-04	1.454206e-01
16	1.453660e-01	1.081894e-04	1.454201e-01
17	1.453660e-01	1.081890e-04	1.454201e-01
18	1.453660e-01	1.081890e-04	1.454201e-01
19	1.453651e-01	1.109263e-04	1.454205e-01
20	1.453644e-01	1.129173e-04	1.454208e-01
21	1.453618e-01	1.205083e-04	1.454220e-01
22	1.453663e-01	1.072762e-04	1.454200e-01
23	1.453660e-01	1.080850e-04	1.454201e-01
24	1.453680e-01	1.024231e-04	1.454192e-01
25	1.453662e-01	1.075704e-04	1.454200e-01
26	1.453663e-01	1.072559e-04	1.454200e-01
27	1.453659e-01	1.084556e-04	1.454201e-01
28	1.453654e-01	1.098737e-04	1.454204e-01
29	1.453651e-01	1.106742e-04	1.454205e-01
30	1.453651e-01	1.109390e-04	1.454205e-01
