RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.793639e-01	-4.714511e-01
2	4.086389e-01	-3.607513e-01
3	3.514550e-01	-4.071636e-01
4	3.758426e-01	-3.869399e-01
5	3.652870e-01	-3.956102e-01
6	3.698260e-01	-3.918668e-01
7	3.678688e-01	-3.934781e-01
8	3.687117e-01	-3.927836e-01
9	3.683485e-01	-3.930828e-01
10	3.685050e-01	-3.929539e-01
11	3.684375e-01	-3.930094e-01
12	3.684375e-01	-3.930094e-01
13	3.684375e-01	-3.930094e-01
14	3.684375e-01	-3.930094e-01
15	3.684375e-01	-3.930094e-01
16	3.684375e-01	-3.930094e-01
17	3.684375e-01	-3.930094e-01
18	3.684375e-01	-3.930094e-01
19	3.684376e-01	-3.930094e-01
20	3.684376e-01	-3.930094e-01
21	3.684377e-01	-3.930093e-01
22	3.684382e-01	-3.930089e-01
23	3.684398e-01	-3.930075e-01
24	3.684446e-01	-3.930036e-01
25	3.684440e-01	-3.930041e-01
26	3.684612e-01	-3.929900e-01
27	3.684604e-01	-3.929906e-01
28	3.684602e-01	-3.929908e-01
29	3.684601e-01	-3.929908e-01
30	3.684601e-01	-3.929908e-01
