RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	7.217471e-01	1.000000e+00	1.220000e+00	1.220000e+00	-9.000000e-02	-9.000000e-02	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	5.690112e-01	1.000000e+00	3.003104e-01	-3.003495e-01	9.429023e-01	7.118210e-10	-3.003495e-01	-1.317064e-01	-4.714511e-01	2.793639e-01	-9.429023e-01	-1.110223e-14	2.000000e+00
3	5.692300e-01	1.000000e+00	2.971272e-01	1.353995e-01	7.215025e-01	2.526150e-08	1.353995e-01	-1.474170e-01	-3.607513e-01	4.086389e-01	-7.215025e-01	0.000000e+00	2.000000e+00
4	5.691238e-01	1.000000e+00	2.893028e-01	1.435491e-01	8.143272e-01	2.442839e-08	1.435491e-01	-1.430997e-01	-4.071636e-01	3.514550e-01	-8.143272e-01	0.000000e+00	2.000000e+00
5	5.691691e-01	1.000000e+00	2.909802e-01	1.450585e-01	7.738799e-01	2.496118e-08	1.450585e-01	-1.454285e-01	-3.869399e-01	3.758426e-01	-7.738799e-01	0.000000e+00	2.000000e+00
6	5.691492e-01	1.000000e+00	2.899420e-01	1.453392e-01	7.912204e-01	2.475942e-08	1.453393e-01	-1.445113e-01	-3.956102e-01	3.652870e-01	-7.912204e-01	0.000000e+00	2.000000e+00
7	5.691582e-01	1.000000e+00	2.903308e-01	1.453913e-01	7.837335e-01	2.485186e-08	1.453913e-01	-1.449225e-01	-3.918668e-01	3.698260e-01	-7.837335e-01	0.000000e+00	2.000000e+00
8	5.691533e-01	1.000000e+00	2.901525e-01	1.454010e-01	7.869563e-01	2.481303e-08	1.454010e-01	-1.447483e-01	-3.934781e-01	3.678688e-01	-7.869563e-01	0.000000e+00	2.000000e+00
9	1.435656e-01	1.000000e+00	2.902273e-01	1.454028e-01	7.855672e-01	2.482995e-08	1.454028e-01	-1.448239e-01	-3.927836e-01	3.687117e-01	-7.855672e-01	0.000000e+00	2.000000e+00
10	2.664904e-02	1.000000e+00	2.901947e-01	1.454031e-01	7.861656e-01	2.482269e-08	1.454031e-01	-1.447914e-01	-3.930828e-01	3.683485e-01	-7.861656e-01	0.000000e+00	2.000000e+00
11	4.947089e-03	1.000000e+00	2.902087e-01	1.454032e-01	7.859078e-01	2.482583e-08	1.454032e-01	-1.448055e-01	-3.929539e-01	3.685050e-01	-7.859078e-01	0.000000e+00	2.000000e+00
12	4.947089e-03	5.000000e-01	2.902026e-01	1.454032e-01	7.860189e-01	2.482448e-08	1.454032e-01						
13	4.947089e-03	2.500000e-01	2.902026e-01	1.454032e-01	7.860189e-01	2.482521e-08	1.454032e-01						
14	4.947089e-03	1.250000e-01	2.902026e-01	1.454032e-01	7.860189e-01	2.482814e-08	1.454032e-01						
15	4.947089e-03	6.250000e-02	2.902026e-01	1.454032e-01	7.860189e-01	2.483987e-08	1.454032e-01						
16	4.947089e-03	3.125000e-02	2.902026e-01	1.454032e-01	7.860189e-01	2.488679e-08	1.454032e-01						
17	4.947089e-03	1.562500e-02	2.902026e-01	1.454032e-01	7.860189e-01	2.482448e-08	1.454032e-01						
18	4.947089e-03	7.812500e-03	2.902026e-01	1.454032e-01	7.860189e-01	2.482448e-08	1.454032e-01						
19	4.947089e-03	3.906250e-03	2.902026e-01	1.454032e-01	7.860189e-01	2.482448e-08	1.454032e-01						
20	4.947089e-03	1.953125e-03	2.902026e-01	1.454032e-01	7.860188e-01	2.482448e-08	1.454032e-01						
21	4.947089e-03	9.765625e-04	2.902026e-01	1.454032e-01	7.860188e-01	2.482448e-08	1.454032e-01						
22	4.947089e-03	4.882812e-04	2.902026e-01	1.454032e-01	7.860186e-01	2.482447e-08	1.454032e-01						
23	5.187456e-03	2.441406e-04	2.902027e-01	1.454032e-01	7.860179e-01	2.482444e-08	1.454032e-01						
24	5.592739e-03	1.220703e-04	2.902028e-01	1.454032e-01	7.860151e-01	2.482433e-08	1.454032e-01						
25	1.000000e+00	6.103516e-05	2.902033e-01	1.454032e-01	7.860073e-01	2.482405e-08	1.454032e-01						
26	-2.000000e+00	6.103516e-05	2.902032e-01	1.454032e-01	7.860082e-01	9.009717e-09	1.454032e-01	-1.448000e-01	-3.930041e-01	3.684440e-01	-7.860082e-01	0.000000e+00	2.000000e+00
27	-2.000000e+00	3.051758e-05	2.902047e-01	1.454032e-01	7.859800e-01	2.490622e-08	1.454032e-01						
28	-2.000000e+00	1.525879e-05	2.902047e-01	1.454032e-01	7.859812e-01	2.482522e-08	1.454032e-01						
29	-2.000000e+00	7.629395e-06	2.902046e-01	1.454032e-01	7.859816e-01	2.482523e-08	1.454032e-01						
30		3.814697e-06	2.902046e-01	1.454032e-01	7.859817e-01	2.482523e-08	1.454032e-01						
