RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571700e-01	-3.217003e-02	1.571700e-01
4	1.454385e-01	1.083504e-04	1.459803e-01
5	1.453794e-01	1.083511e-04	1.459212e-01
6	1.453684e-01	1.083511e-04	1.459102e-01
7	1.453664e-01	1.083511e-04	1.459082e-01
8	1.453660e-01	1.083511e-04	1.459078e-01
9	1.453660e-01	1.083511e-04	1.459077e-01
10	1.453660e-01	1.083511e-04	1.459077e-01
11	1.453659e-01	1.083511e-04	1.459077e-01
12	1.453659e-01	1.086072e-04	1.459089e-01
13	1.453659e-01	1.085882e-04	1.459088e-01
14	1.453641e-01	1.136915e-04	1.459326e-01
15	1.453641e-01	1.136989e-04	1.459326e-01
16	1.453649e-01	1.115178e-04	1.459224e-01
17	1.453660e-01	1.081894e-04	1.459070e-01
18	1.453660e-01	1.081890e-04	1.459069e-01
19	1.453660e-01	1.081886e-04	1.459069e-01
20	1.453651e-01	1.109262e-04	1.459197e-01
21	1.453618e-01	1.205310e-04	1.459644e-01
22	1.453644e-01	1.129663e-04	1.459292e-01
23	1.453660e-01	1.080852e-04	1.459065e-01
24	1.453660e-01	1.080851e-04	1.459065e-01
25	1.453680e-01	1.024233e-04	1.458801e-01
26	1.453660e-01	1.080839e-04	1.459065e-01
27	1.453665e-01	1.067082e-04	1.459001e-01
28	1.453663e-01	1.072560e-04	1.459026e-01
29	1.453659e-01	1.084550e-04	1.459082e-01
30	1.453654e-01	1.098739e-04	1.459148e-01
