RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.928932e-01	-7.928932e-01
2	3.964467e-01	-3.964467e-01
3	2.482233e-01	-2.711121e-01
4	1.855560e-01	-2.037379e-01
5	1.518689e-01	-1.752527e-01
6	1.376264e-01	-1.599404e-01
7	1.299702e-01	-1.534665e-01
8	1.267333e-01	-1.499864e-01
9	1.249932e-01	-1.485151e-01
10	1.242576e-01	-1.477242e-01
11	1.238621e-01	-1.473898e-01
12	1.236949e-01	-1.472100e-01
13	1.236050e-01	-1.471340e-01
14	1.235670e-01	-1.470932e-01
15	1.235670e-01	-1.470932e-01
16	1.235670e-01	-1.470932e-01
17	1.235670e-01	-1.470932e-01
18	1.235670e-01	-1.470932e-01
19	1.235670e-01	-1.470932e-01
20	1.235670e-01	-1.470932e-01
21	1.235670e-01	-1.470932e-01
22	1.235670e-01	-1.470932e-01
23	1.235670e-01	-1.470932e-01
24	1.235670e-01	-1.470932e-01
25	1.235670e-01	-1.470932e-01
26	1.235671e-01	-1.470933e-01
27	1.235674e-01	-1.470936e-01
28	1.235684e-01	-1.470945e-01
29	1.235708e-01	-1.470969e-01
30	1.235738e-01	-1.470999e-01
