RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.088000e+01
2	1.438721e-02	1.044501e+00	5.236893e+00
3	1.454517e-01	1.102695e-04	1.460030e-01
4	1.453820e-01	1.083511e-04	1.459237e-01
5	1.453689e-01	1.083511e-04	1.459107e-01
6	1.453665e-01	1.083511e-04	1.459083e-01
7	1.453660e-01	1.083511e-04	1.459078e-01
8	1.453660e-01	1.083511e-04	1.459077e-01
9	1.453660e-01	1.083511e-04	1.459077e-01
10	1.453659e-01	1.083511e-04	1.459077e-01
11	1.453659e-01	1.083511e-04	1.459077e-01
12	1.453659e-01	1.083511e-04	1.459077e-01
13	1.453659e-01	1.083511e-04	1.459077e-01
14	1.453659e-01	1.083511e-04	1.459077e-01
15	1.453659e-01	1.083511e-04	1.459077e-01
16	1.453659e-01	1.083511e-04	1.459077e-01
17	1.453659e-01	1.083511e-04	1.459077e-01
18	1.453659e-01	1.083511e-04	1.459077e-01
19	1.453659e-01	1.083511e-04	1.459077e-01
20	1.453659e-01	1.083511e-04	1.459077e-01
21	1.453659e-01	1.083511e-04	1.459077e-01
22	1.453659e-01	1.083511e-04	1.459077e-01
23	1.453659e-01	1.083511e-04	1.459077e-01
24	1.453659e-01	1.083511e-04	1.459077e-01
25	1.453659e-01	1.083511e-04	1.459077e-01
26	1.453659e-01	1.083511e-04	1.459077e-01
27	1.453659e-01	1.083511e-04	1.459077e-01
28	1.453659e-01	1.086072e-04	1.459089e-01
29	1.453659e-01	1.083511e-04	1.459077e-01
30	1.453659e-01	1.083511e-04	1.459077e-01
