RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.612950e-01	1.000000e+00	1.220000e+00	1.220000e+00	2.110000e+00	2.110000e+00	2.275000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	1.777008e+00	2.000000e+00	1.137093e-02	-5.600778e-02	1.103359e+00	1.044501e+00	4.662428e-01	3.016279e-03	-2.942905e-02	-1.024932e-01	-5.885811e-02	0.000000e+00	2.000000e+00
3	5.701966e-01	4.000000e+00	2.906991e-01	3.164761e-01	7.767630e-01	1.102695e-04	3.165313e-01	-1.452474e-01	-3.883264e-01	3.740344e-01	-7.766527e-01	0.000000e+00	2.000000e+00
4	5.691432e-01	4.000000e+00	2.899255e-01	1.453287e-01	7.899936e-01	1.083511e-04	1.453829e-01	-1.445435e-01	-3.949426e-01	3.659861e-01	-7.898852e-01	0.000000e+00	2.000000e+00
5	5.691499e-01	4.000000e+00	2.902253e-01	1.453590e-01	7.842838e-01	1.083511e-04	1.454132e-01	-1.448564e-01	-3.920877e-01	3.694490e-01	-7.841754e-01	0.000000e+00	2.000000e+00
6	5.691467e-01	4.000000e+00	2.900898e-01	1.453647e-01	7.867422e-01	1.083511e-04	1.454188e-01	-1.447233e-01	-3.933169e-01	3.679560e-01	-7.866338e-01	0.000000e+00	2.000000e+00
7	5.691488e-01	4.000000e+00	2.901470e-01	1.453657e-01	7.856826e-01	1.083511e-04	1.454199e-01	-1.447810e-01	-3.927871e-01	3.685991e-01	-7.855743e-01	0.000000e+00	2.000000e+00
8	5.691461e-01	4.000000e+00	2.901222e-01	1.453659e-01	7.861391e-01	1.083511e-04	1.454201e-01	-1.447562e-01	-3.930154e-01	3.683220e-01	-7.860307e-01	0.000000e+00	2.000000e+00
9	5.691514e-01	4.000000e+00	2.901328e-01	1.453659e-01	7.859424e-01	1.083511e-04	1.454201e-01	-1.447669e-01	-3.929170e-01	3.684414e-01	-7.858341e-01	0.000000e+00	2.000000e+00
10	5.691396e-01	4.000000e+00	2.901282e-01	1.453659e-01	7.860271e-01	1.083511e-04	1.454201e-01	-1.447623e-01	-3.929594e-01	3.683899e-01	-7.859188e-01	0.000000e+00	2.000000e+00
11	5.691668e-01	4.000000e+00	2.901302e-01	1.453659e-01	7.859906e-01	1.083511e-04	1.454201e-01	-1.447643e-01	-3.929411e-01	3.684121e-01	-7.858823e-01	0.000000e+00	2.000000e+00
12	5.691038e-01	4.000000e+00	2.901294e-01	1.453659e-01	7.860064e-01	1.083511e-04	1.454201e-01	-1.447634e-01	-3.929490e-01	3.684026e-01	-7.858980e-01	0.000000e+00	2.000000e+00
13	5.692485e-01	4.000000e+00	2.901297e-01	1.453659e-01	7.859996e-01	1.083511e-04	1.454201e-01	-1.447638e-01	-3.929456e-01	3.684067e-01	-7.858912e-01	0.000000e+00	2.000000e+00
14	5.689273e-01	4.000000e+00	2.901296e-01	1.453659e-01	7.860025e-01	1.083511e-04	1.454201e-01	-1.447636e-01	-3.929471e-01	3.684049e-01	-7.858942e-01	0.000000e+00	2.000000e+00
15	5.697067e-01	4.000000e+00	2.901296e-01	1.453659e-01	7.860013e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929465e-01	3.684057e-01	-7.858929e-01	0.000000e+00	2.000000e+00
16	5.667634e-01	4.000000e+00	2.901296e-01	1.453659e-01	7.860018e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929467e-01	3.684053e-01	-7.858934e-01	0.000000e+00	2.000000e+00
17	5.752896e-01	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684055e-01	-7.858932e-01	0.000000e+00	2.000000e+00
18	5.918367e-01	4.000000e+00	2.901296e-01	1.453659e-01	7.860017e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929467e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
19	2.000000e-01	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
21	-inf	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
22	9.999997e-01	2.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01						
23	1.000000e+00	4.000000e+00	2.901294e-01	1.453659e-01	7.860017e-01	1.086072e-04	1.454202e-01	-1.447636e-01	-3.929465e-01	3.684053e-01	-7.858931e-01	0.000000e+00	2.000000e+00
24	1.008197e+00	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
25	1.000000e+00	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
26	-inf	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
27	9.999997e-01	2.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01						
28	1.000000e+00	4.000000e+00	2.901294e-01	1.453659e-01	7.860017e-01	1.086072e-04	1.454202e-01	-1.447636e-01	-3.929465e-01	3.684053e-01	-7.858931e-01	0.000000e+00	2.000000e+00
29	1.008333e+00	4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
30		4.000000e+00	2.901296e-01	1.453659e-01	7.860016e-01	1.083511e-04	1.454201e-01	-1.447637e-01	-3.929466e-01	3.684054e-01	-7.858933e-01	0.000000e+00	2.000000e+00
