RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.427474e-01	1.000000e+00	1.220000e+00	1.220000e+00	2.110000e+00	2.110000e+00	2.275000e+00	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	1.407744e+00	2.000000e+00	1.115582e-02	-9.361180e-02	1.105534e+00	1.115204e+00	4.639902e-01	-5.101576e-04	4.835141e-03	-1.055104e-01	9.670283e-03	0.000000e+00	2.000000e+00
3	1.272681e+00	4.000000e+00	1.501983e-01	1.833649e-01	8.413189e-01	2.449925e-01	3.058612e-01	-7.381996e-02	-2.981632e-01	2.475824e-01	-5.963264e-01	0.000000e+00	2.000000e+00
4	5.698109e-01	4.000000e+00	2.903147e-01	1.568629e-01	7.840133e-01	7.947990e-08	1.568629e-01	-1.449075e-01	-3.920066e-01	3.696559e-01	-7.840132e-01	0.000000e+00	2.000000e+00
5	5.691533e-01	4.000000e+00	2.901588e-01	1.454015e-01	7.868356e-01	2.481452e-08	1.454015e-01	-1.447549e-01	-3.934178e-01	3.679420e-01	-7.868356e-01	0.000000e+00	2.000000e+00
6	5.691580e-01	4.000000e+00	2.902244e-01	1.454029e-01	7.856192e-01	2.482932e-08	1.454029e-01	-1.448211e-01	-3.928096e-01	3.686802e-01	-7.856192e-01	0.000000e+00	2.000000e+00
7	5.691498e-01	4.000000e+00	2.901959e-01	1.454031e-01	7.861432e-01	2.482297e-08	1.454032e-01	-1.447927e-01	-3.930716e-01	3.683621e-01	-7.861432e-01	0.000000e+00	2.000000e+00
8	5.691676e-01	4.000000e+00	2.902081e-01	1.454032e-01	7.859174e-01	2.482571e-08	1.454032e-01	-1.448049e-01	-3.929587e-01	3.684991e-01	-7.859174e-01	0.000000e+00	2.000000e+00
9	5.691269e-01	4.000000e+00	2.902029e-01	1.454032e-01	7.860147e-01	2.482453e-08	1.454032e-01	-1.447996e-01	-3.930073e-01	3.684401e-01	-7.860147e-01	0.000000e+00	2.000000e+00
10	5.692211e-01	4.000000e+00	2.902051e-01	1.454032e-01	7.859728e-01	2.482504e-08	1.454032e-01	-1.448019e-01	-3.929864e-01	3.684655e-01	-7.859728e-01	0.000000e+00	2.000000e+00
11	5.690025e-01	4.000000e+00	2.902041e-01	1.454032e-01	7.859908e-01	2.482482e-08	1.454032e-01	-1.448009e-01	-3.929954e-01	3.684545e-01	-7.859908e-01	0.000000e+00	2.000000e+00
12	5.695082e-01	4.000000e+00	2.902046e-01	1.454032e-01	7.859831e-01	2.482491e-08	1.454032e-01	-1.448014e-01	-3.929915e-01	3.684593e-01	-7.859830e-01	0.000000e+00	2.000000e+00
13	5.683268e-01	4.000000e+00	2.902044e-01	1.454032e-01	7.859864e-01	2.482487e-08	1.454032e-01	-1.448012e-01	-3.929932e-01	3.684572e-01	-7.859864e-01	0.000000e+00	2.000000e+00
