RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.521000e+00
2	1.438721e-02	1.044501e+00	1.188373e-01
3	1.454517e-01	1.102695e-04	1.454627e-01
4	1.061051e-01	1.262983e-01	1.187349e-01
5	2.512371e-02	5.453011e-01	7.965382e-02
6	1.456518e-01	1.146101e-04	1.456632e-01
7	1.133333e-01	1.024537e-01	1.235786e-01
8	6.177068e-02	3.137324e-01	9.314393e-02
9	4.148970e-02	4.268045e-01	8.417016e-02
10	3.279730e-02	4.853543e-01	8.133272e-02
11	2.882645e-02	5.151502e-01	8.034148e-02
12	2.693679e-02	5.301802e-01	7.995480e-02
13	2.601623e-02	5.377276e-01	7.978899e-02
14	2.555871e-02	5.415078e-01	7.970950e-02
15	2.533639e-02	5.433963e-01	7.967603e-02
16	2.523036e-02	5.443338e-01	7.966374e-02
17	2.518000e-02	5.447891e-01	7.965891e-02
18	2.515765e-02	5.449948e-01	7.965713e-02
19	2.514935e-02	5.450737e-01	7.965672e-02
20	2.514697e-02	5.450982e-01	7.965679e-02
21	2.514644e-02	5.451048e-01	7.965692e-02
22	2.514636e-02	5.451065e-01	7.965701e-02
23	2.514638e-02	5.451069e-01	7.965707e-02
24	2.514639e-02	5.451070e-01	7.965709e-02
25	2.514640e-02	5.451070e-01	7.965711e-02
26	2.514641e-02	5.451070e-01	7.965711e-02
27	2.514641e-02	5.451070e-01	7.965711e-02
28	2.514641e-02	5.451070e-01	7.965712e-02
29	2.514641e-02	5.451070e-01	7.965712e-02
30	2.514641e-02	5.451070e-01	7.965712e-02
