RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.825071e-01	2.977521e-01
2	-9.887607e-02	-7.951319e-03
3	5.397566e-02	-4.596542e-02
4	7.298271e-02	-1.154435e-01
5	1.077217e-01	-1.240830e-01
6	1.120415e-01	-1.398735e-01
7	1.199368e-01	-1.418370e-01
8	1.209185e-01	-1.454258e-01
9	1.227129e-01	-1.458720e-01
10	1.229360e-01	-1.466877e-01
11	1.233438e-01	-1.467891e-01
12	1.233945e-01	-1.469745e-01
13	1.234872e-01	-1.469975e-01
14	1.234988e-01	-1.470396e-01
15	1.235198e-01	-1.470449e-01
16	1.235224e-01	-1.470545e-01
17	1.235272e-01	-1.470556e-01
18	1.235278e-01	-1.470578e-01
19	1.235289e-01	-1.470581e-01
20	1.235290e-01	-1.470586e-01
21	1.235293e-01	-1.470586e-01
22	1.235293e-01	-1.470588e-01
23	1.235294e-01	-1.470588e-01
24	1.235294e-01	-1.470588e-01
25	1.235294e-01	-1.470588e-01
26	1.235294e-01	-1.470588e-01
27	1.235294e-01	-1.470588e-01
28	1.235294e-01	-1.470588e-01
29	1.235294e-01	-1.470588e-01
30	1.235294e-01	-1.470588e-01
