RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.330000e+00
2	1.163978e-01	2.167261e+00	1.163978e-01
3	2.909945e-02	1.438626e+00	2.909945e-02
4	7.274862e-03	1.262995e+00	7.274862e-03
5	1.818716e-03	1.107189e+00	1.818716e-03
6	4.546789e-04	1.063947e+00	4.546789e-04
7	1.136697e-04	1.026643e+00	1.136697e-04
8	2.841743e-05	1.015874e+00	2.841743e-05
9	7.104355e-06	1.006651e+00	7.104355e-06
10	1.776088e-06	1.003962e+00	1.776088e-06
11	4.440216e-07	1.001662e+00	4.440216e-07
12	1.110052e-07	1.000990e+00	1.110052e-07
13	2.775121e-08	1.000416e+00	2.775121e-08
14	6.937754e-09	1.000247e+00	6.937754e-09
15	1.734415e-09	1.000104e+00	1.734415e-09
16	1.734415e-09	1.000104e+00	1.734415e-09
17	1.734415e-09	1.000104e+00	1.734415e-09
18	1.734415e-09	1.000104e+00	1.734415e-09
19	1.734415e-09	1.000104e+00	1.734415e-09
20	1.734394e-09	1.000104e+00	1.734394e-09
21	1.734103e-09	1.000104e+00	1.734103e-09
22	1.734136e-09	1.000104e+00	1.734136e-09
23	1.734358e-09	1.000104e+00	1.734358e-09
24	1.734460e-09	1.000104e+00	1.734460e-09
25	1.734597e-09	1.000104e+00	1.734597e-09
26	1.735188e-09	1.000104e+00	1.735188e-09
27	1.737321e-09	1.000104e+00	1.737321e-09
28	1.746072e-09	1.000105e+00	1.746072e-09
29	1.780689e-09	1.000109e+00	1.780689e-09
30	1.788352e-09	1.000110e+00	1.788352e-09
